"","covariate","column_n","GVIF","GVIF_final","zed_scale"
"1","human_pop50_log_z",890,3.82348135247488,1.75966300177616,"Global"
"2","kd490_cv_z",890,1.48729012942644,1.36334208347325,"Global"
"3","kd490_mean_z",890,2.82711013881035,2.35544416707579,"Global"
"4","land_area50_log_z",890,5.55821954777448,NA,"Global"
"5","nAll_30yr_z",890,1.48043512421255,1.28985972202558,"Global"
"6","npp_cv_z",890,1.72725317041137,1.34762817853875,"Global"
"7","npp_mean_z",890,2.15585523823469,1.91219097745883,"Global"
"8","sst_cv_z",890,4.95346532399571,2.15080412260483,"Global"
"9","sst_mean_z",890,3.0409005672022,NA,"Global"
"10","wave_cv_z",890,1.24742337972424,1.11571109501575,"Global"
"11","wave_mean_z",890,2.4513480146717,1.82948826731146,"Global"
"12","human_pop50_log_z",890,3.40097995738071,1.48708024018543,"Ocean"
"13","kd490_cv_z",890,1.39783642567619,1.22720924035171,"Ocean"
"14","kd490_mean_z",890,2.17849327517058,2.09061315993416,"Ocean"
"15","land_area50_log_z",890,4.60530604216849,NA,"Ocean"
"16","nAll_30yr_z",890,1.2616735444234,1.20272458242751,"Ocean"
"17","npp_cv_z",890,1.49638402401274,1.30460605989157,"Ocean"
"18","npp_mean_z",890,1.31097073839484,1.21611919551412,"Ocean"
"19","sst_cv_z",890,5.2673177801927,2.35462498115073,"Ocean"
"20","sst_mean_z",890,4.257888526061,NA,"Ocean"
"21","wave_cv_z",890,1.25861923526341,1.10755848666223,"Ocean"
"22","wave_mean_z",890,1.37459441070085,1.27907460657435,"Ocean"
"23","human_pop50_log_z",890,2.32866609690657,1.33255385644627,"Jurisdiction"
"24","kd490_cv_z",890,1.33701906506377,1.30505287977175,"Jurisdiction"
"25","kd490_mean_z",890,1.42608226619779,1.40974478868894,"Jurisdiction"
"26","land_area50_log_z",890,2.95817955349645,NA,"Jurisdiction"
"27","nAll_30yr_z",890,1.17690347734056,1.17685028556951,"Jurisdiction"
"28","npp_cv_z",890,1.31951798131799,1.25163096479226,"Jurisdiction"
"29","npp_mean_z",890,1.30422451698526,1.30110093365119,"Jurisdiction"
"30","sst_cv_z",890,1.53421989930032,1.53067384362684,"Jurisdiction"
"31","sst_mean_z",890,1.67682878998796,1.67427775032162,"Jurisdiction"
"32","wave_cv_z",890,1.30171636457319,1.27101667495667,"Jurisdiction"
"33","wave_mean_z",890,1.72697688004645,1.44292651673712,"Jurisdiction"
"34","human_pop50_log_z",890,1.31921425365803,1.31921425365803,"Sub-jurisdiction"
"35","kd490_cv_z",890,1.18751546463983,1.18751546463983,"Sub-jurisdiction"
"36","kd490_mean_z",890,1.45494169020209,1.45494169020209,"Sub-jurisdiction"
"37","land_area50_log_z",890,1.41064630188655,1.41064630188655,"Sub-jurisdiction"
"38","nAll_30yr_z",890,1.03183148265014,1.03183148265014,"Sub-jurisdiction"
"39","npp_cv_z",890,1.11157984406608,1.11157984406608,"Sub-jurisdiction"
"40","npp_mean_z",890,1.18104566199471,1.18104566199471,"Sub-jurisdiction"
"41","sst_cv_z",890,1.41161676430694,1.41161676430694,"Sub-jurisdiction"
"42","sst_mean_z",890,1.28468958410229,1.28468958410229,"Sub-jurisdiction"
"43","wave_cv_z",890,1.25723487512156,1.25723487512156,"Sub-jurisdiction"
"44","wave_mean_z",890,1.31843543640058,1.31843543640058,"Sub-jurisdiction"
