"","oasis_cells","oasis_cells_sum","scale","oasis_cell_percentage"
"1",30,89,"Cross-basin",33.7078651685393
"2",34,89,"Cross-basin",38.2022471910112
"3",33,89,"Cross-basin",37.0786516853933
"4",22,89,"Cross-basin",24.7191011235955
"5",33,89,"Cross-basin",37.0786516853933
"6",23,89,"Cross-basin",25.8426966292135
"7",15,89,"Cross-basin",16.8539325842697
"8",31,89,"Cross-basin",34.8314606741573
"9",27,89,"Cross-basin",30.3370786516854
"10",30,89,"Cross-basin",33.7078651685393
"11",35,89,"Cross-basin",39.3258426966292
"12",36,89,"Cross-basin",40.4494382022472
"13",39,89,"Cross-basin",43.8202247191011
"14",30,89,"Cross-basin",33.7078651685393
"15",25,89,"Cross-basin",28.0898876404494
"16",31,89,"Cross-basin",34.8314606741573
"17",36,89,"Cross-basin",40.4494382022472
"18",30,89,"Cross-basin",33.7078651685393
"19",32,89,"Cross-basin",35.9550561797753
"20",21,89,"Cross-basin",23.5955056179775
"21",32,89,"Cross-basin",35.9550561797753
"22",32,89,"Cross-basin",35.9550561797753
"23",18,89,"Cross-basin",20.2247191011236
"24",16,89,"Cross-basin",17.9775280898876
"25",33,89,"Cross-basin",37.0786516853933
"26",29,89,"Cross-basin",32.5842696629214
"27",15,89,"Cross-basin",16.8539325842697
"28",23,89,"Cross-basin",25.8426966292135
"29",17,89,"Cross-basin",19.1011235955056
"30",31,89,"Cross-basin",34.8314606741573
"31",23,89,"Cross-basin",25.8426966292135
"32",8,89,"Cross-basin",8.98876404494382
"33",25,89,"Cross-basin",28.0898876404494
"34",35,89,"Cross-basin",39.3258426966292
"35",24,89,"Cross-basin",26.9662921348315
"36",11,89,"Cross-basin",12.3595505617978
"37",29,89,"Cross-basin",32.5842696629214
"38",27,89,"Cross-basin",30.3370786516854
"39",20,89,"Cross-basin",22.4719101123595
"40",33,89,"Cross-basin",37.0786516853933
"41",26,89,"Cross-basin",29.2134831460674
"42",21,89,"Cross-basin",23.5955056179775
"43",25,89,"Cross-basin",28.0898876404494
"44",31,89,"Cross-basin",34.8314606741573
"45",37,89,"Cross-basin",41.5730337078652
"46",18,89,"Cross-basin",20.2247191011236
"47",26,89,"Cross-basin",29.2134831460674
"48",27,89,"Cross-basin",30.3370786516854
"49",16,89,"Cross-basin",17.9775280898876
"50",39,89,"Cross-basin",43.8202247191011
"51",11,89,"Cross-basin",12.3595505617978
"52",31,89,"Cross-basin",34.8314606741573
"53",17,89,"Cross-basin",19.1011235955056
"54",18,89,"Cross-basin",20.2247191011236
"55",17,89,"Cross-basin",19.1011235955056
"56",30,89,"Cross-basin",33.7078651685393
"57",30,89,"Cross-basin",33.7078651685393
"58",28,89,"Cross-basin",31.4606741573034
"59",5,89,"Cross-basin",5.61797752808989
"60",40,89,"Cross-basin",44.9438202247191
"61",33,89,"Cross-basin",37.0786516853933
"62",10,89,"Cross-basin",11.2359550561798
"63",11,89,"Cross-basin",12.3595505617978
"64",29,89,"Cross-basin",32.5842696629214
"65",23,89,"Cross-basin",25.8426966292135
"66",15,89,"Cross-basin",16.8539325842697
"67",20,89,"Cross-basin",22.4719101123595
"68",30,89,"Cross-basin",33.7078651685393
"69",28,89,"Cross-basin",31.4606741573034
"70",29,89,"Cross-basin",32.5842696629214
"71",26,89,"Cross-basin",29.2134831460674
"72",19,89,"Cross-basin",21.3483146067416
"73",15,89,"Cross-basin",16.8539325842697
"74",23,89,"Cross-basin",25.8426966292135
"75",13,89,"Cross-basin",14.6067415730337
"76",14,89,"Cross-basin",15.7303370786517
"77",20,89,"Cross-basin",22.4719101123595
"78",12,89,"Cross-basin",13.4831460674157
"79",12,89,"Cross-basin",13.4831460674157
"80",19,89,"Cross-basin",21.3483146067416
"81",6,89,"Cross-basin",6.74157303370786
"82",4,89,"Cross-basin",4.49438202247191
"83",23,89,"Cross-basin",25.8426966292135
"84",15,89,"Cross-basin",16.8539325842697
"85",17,89,"Cross-basin",19.1011235955056
"86",14,89,"Cross-basin",15.7303370786517
"87",30,89,"Cross-basin",33.7078651685393
"88",24,89,"Cross-basin",26.9662921348315
"89",33,89,"Cross-basin",37.0786516853933
"90",20,89,"Cross-basin",22.4719101123595
"91",27,89,"Cross-basin",30.3370786516854
"92",18,89,"Cross-basin",20.2247191011236
"93",32,89,"Cross-basin",35.9550561797753
"94",3,89,"Cross-basin",3.37078651685393
"95",10,89,"Cross-basin",11.2359550561798
"96",8,89,"Cross-basin",8.98876404494382
"97",29,89,"Cross-basin",32.5842696629214
"98",29,89,"Cross-basin",32.5842696629214
"99",19,89,"Cross-basin",21.3483146067416
"100",27,89,"Cross-basin",30.3370786516854
"101",28,89,"Cross-basin",31.4606741573034
"102",22,89,"Cross-basin",24.7191011235955
"103",28,89,"Cross-basin",31.4606741573034
"104",31,89,"Cross-basin",34.8314606741573
"105",19,89,"Cross-basin",21.3483146067416
"106",21,89,"Cross-basin",23.5955056179775
"107",16,89,"Cross-basin",17.9775280898876
"108",28,89,"Cross-basin",31.4606741573034
"109",15,89,"Cross-basin",16.8539325842697
"110",16,89,"Cross-basin",17.9775280898876
"111",16,89,"Cross-basin",17.9775280898876
"112",14,89,"Cross-basin",15.7303370786517
"113",19,89,"Cross-basin",21.3483146067416
"114",25,89,"Cross-basin",28.0898876404494
"115",31,89,"Cross-basin",34.8314606741573
"116",28,89,"Cross-basin",31.4606741573034
"117",19,89,"Cross-basin",21.3483146067416
"118",33,89,"Cross-basin",37.0786516853933
"119",29,89,"Cross-basin",32.5842696629214
"120",16,89,"Cross-basin",17.9775280898876
"121",27,89,"Cross-basin",30.3370786516854
"122",26,89,"Cross-basin",29.2134831460674
"123",17,89,"Cross-basin",19.1011235955056
"124",25,89,"Cross-basin",28.0898876404494
"125",9,89,"Cross-basin",10.1123595505618
"126",25,89,"Cross-basin",28.0898876404494
"127",19,89,"Cross-basin",21.3483146067416
"128",21,89,"Cross-basin",23.5955056179775
"129",32,89,"Cross-basin",35.9550561797753
"130",22,89,"Cross-basin",24.7191011235955
"131",42,89,"Cross-basin",47.1910112359551
"132",39,89,"Cross-basin",43.8202247191011
"133",16,89,"Cross-basin",17.9775280898876
"134",16,89,"Cross-basin",17.9775280898876
"135",27,89,"Cross-basin",30.3370786516854
"136",31,89,"Cross-basin",34.8314606741573
"137",42,89,"Cross-basin",47.1910112359551
"138",29,89,"Cross-basin",32.5842696629214
"139",32,89,"Cross-basin",35.9550561797753
"140",36,89,"Cross-basin",40.4494382022472
"141",39,89,"Cross-basin",43.8202247191011
"142",28,89,"Cross-basin",31.4606741573034
"143",10,89,"Cross-basin",11.2359550561798
"144",19,89,"Cross-basin",21.3483146067416
"145",35,89,"Cross-basin",39.3258426966292
"146",27,89,"Cross-basin",30.3370786516854
"147",30,89,"Cross-basin",33.7078651685393
"148",32,89,"Cross-basin",35.9550561797753
"149",25,89,"Cross-basin",28.0898876404494
"150",8,89,"Cross-basin",8.98876404494382
"151",22,89,"Cross-basin",24.7191011235955
"152",12,89,"Cross-basin",13.4831460674157
"153",27,89,"Cross-basin",30.3370786516854
"154",16,89,"Cross-basin",17.9775280898876
"155",21,89,"Cross-basin",23.5955056179775
"156",17,89,"Cross-basin",19.1011235955056
"157",12,89,"Cross-basin",13.4831460674157
"158",18,89,"Cross-basin",20.2247191011236
"159",27,89,"Cross-basin",30.3370786516854
"160",29,89,"Cross-basin",32.5842696629214
"161",20,89,"Cross-basin",22.4719101123595
"162",29,89,"Cross-basin",32.5842696629214
"163",27,89,"Cross-basin",30.3370786516854
"164",23,89,"Cross-basin",25.8426966292135
"165",41,89,"Cross-basin",46.0674157303371
"166",38,89,"Cross-basin",42.6966292134831
"167",34,89,"Cross-basin",38.2022471910112
"168",26,89,"Cross-basin",29.2134831460674
"169",21,89,"Cross-basin",23.5955056179775
"170",19,89,"Cross-basin",21.3483146067416
"171",8,89,"Cross-basin",8.98876404494382
"172",12,89,"Cross-basin",13.4831460674157
"173",13,89,"Cross-basin",14.6067415730337
"174",31,89,"Cross-basin",34.8314606741573
"175",25,89,"Cross-basin",28.0898876404494
"176",18,89,"Cross-basin",20.2247191011236
"177",23,89,"Cross-basin",25.8426966292135
"178",25,89,"Cross-basin",28.0898876404494
"179",17,89,"Cross-basin",19.1011235955056
"180",10,89,"Cross-basin",11.2359550561798
"181",13,89,"Cross-basin",14.6067415730337
"182",26,89,"Cross-basin",29.2134831460674
"183",27,89,"Cross-basin",30.3370786516854
"184",29,89,"Cross-basin",32.5842696629214
"185",20,89,"Cross-basin",22.4719101123595
"186",34,89,"Cross-basin",38.2022471910112
"187",14,89,"Cross-basin",15.7303370786517
"188",24,89,"Cross-basin",26.9662921348315
"189",20,89,"Cross-basin",22.4719101123595
"190",11,89,"Cross-basin",12.3595505617978
"191",30,89,"Cross-basin",33.7078651685393
"192",22,89,"Cross-basin",24.7191011235955
"193",21,89,"Cross-basin",23.5955056179775
"194",24,89,"Cross-basin",26.9662921348315
"195",29,89,"Cross-basin",32.5842696629214
"196",19,89,"Cross-basin",21.3483146067416
"197",27,89,"Cross-basin",30.3370786516854
"198",30,89,"Cross-basin",33.7078651685393
"199",33,89,"Cross-basin",37.0786516853933
"200",37,89,"Cross-basin",41.5730337078652
"201",24,89,"Cross-basin",26.9662921348315
"202",21,89,"Cross-basin",23.5955056179775
"203",16,89,"Cross-basin",17.9775280898876
"204",26,89,"Cross-basin",29.2134831460674
"205",36,89,"Cross-basin",40.4494382022472
"206",13,89,"Cross-basin",14.6067415730337
"207",36,89,"Cross-basin",40.4494382022472
"208",22,89,"Cross-basin",24.7191011235955
"209",21,89,"Cross-basin",23.5955056179775
"210",22,89,"Cross-basin",24.7191011235955
"211",33,89,"Cross-basin",37.0786516853933
"212",25,89,"Cross-basin",28.0898876404494
"213",31,89,"Cross-basin",34.8314606741573
"214",24,89,"Cross-basin",26.9662921348315
"215",28,89,"Cross-basin",31.4606741573034
"216",17,89,"Cross-basin",19.1011235955056
"217",27,89,"Cross-basin",30.3370786516854
"218",28,89,"Cross-basin",31.4606741573034
"219",32,89,"Cross-basin",35.9550561797753
"220",29,89,"Cross-basin",32.5842696629214
"221",15,89,"Cross-basin",16.8539325842697
"222",26,89,"Cross-basin",29.2134831460674
"223",26,89,"Cross-basin",29.2134831460674
"224",17,89,"Cross-basin",19.1011235955056
"225",19,89,"Cross-basin",21.3483146067416
"226",19,89,"Cross-basin",21.3483146067416
"227",22,89,"Cross-basin",24.7191011235955
"228",23,89,"Cross-basin",25.8426966292135
"229",24,89,"Cross-basin",26.9662921348315
"230",29,89,"Cross-basin",32.5842696629214
"231",28,89,"Cross-basin",31.4606741573034
"232",23,89,"Cross-basin",25.8426966292135
"233",34,89,"Cross-basin",38.2022471910112
"234",37,89,"Cross-basin",41.5730337078652
"235",36,89,"Cross-basin",40.4494382022472
"236",11,89,"Cross-basin",12.3595505617978
"237",33,89,"Cross-basin",37.0786516853933
"238",26,89,"Cross-basin",29.2134831460674
"239",29,89,"Cross-basin",32.5842696629214
"240",26,89,"Cross-basin",29.2134831460674
"241",11,89,"Cross-basin",12.3595505617978
"242",22,89,"Cross-basin",24.7191011235955
"243",17,89,"Cross-basin",19.1011235955056
"244",21,89,"Cross-basin",23.5955056179775
"245",33,89,"Cross-basin",37.0786516853933
"246",28,89,"Cross-basin",31.4606741573034
"247",19,89,"Cross-basin",21.3483146067416
"248",19,89,"Cross-basin",21.3483146067416
"249",32,89,"Cross-basin",35.9550561797753
"250",14,89,"Cross-basin",15.7303370786517
"251",30,89,"Cross-basin",33.7078651685393
"252",28,89,"Cross-basin",31.4606741573034
"253",18,89,"Cross-basin",20.2247191011236
"254",28,89,"Cross-basin",31.4606741573034
"255",25,89,"Cross-basin",28.0898876404494
"256",16,89,"Cross-basin",17.9775280898876
"257",21,89,"Cross-basin",23.5955056179775
"258",30,89,"Cross-basin",33.7078651685393
"259",21,89,"Cross-basin",23.5955056179775
"260",21,89,"Cross-basin",23.5955056179775
"261",3,89,"Cross-basin",3.37078651685393
"262",19,89,"Cross-basin",21.3483146067416
"263",12,89,"Cross-basin",13.4831460674157
"264",13,89,"Cross-basin",14.6067415730337
"265",14,89,"Cross-basin",15.7303370786517
"266",7,89,"Cross-basin",7.86516853932584
"267",0,89,"Cross-basin",0
"268",11,89,"Cross-basin",12.3595505617978
"269",9,89,"Cross-basin",10.1123595505618
"270",13,89,"Cross-basin",14.6067415730337
"271",17,89,"Cross-basin",19.1011235955056
"272",34,89,"Cross-basin",38.2022471910112
"273",33,89,"Cross-basin",37.0786516853933
"274",20,89,"Cross-basin",22.4719101123595
"275",32,89,"Cross-basin",35.9550561797753
"276",33,89,"Cross-basin",37.0786516853933
"277",36,89,"Cross-basin",40.4494382022472
"278",22,89,"Cross-basin",24.7191011235955
"279",29,89,"Cross-basin",32.5842696629214
"280",39,89,"Cross-basin",43.8202247191011
"281",28,89,"Cross-basin",31.4606741573034
"282",30,89,"Cross-basin",33.7078651685393
"283",34,89,"Cross-basin",38.2022471910112
"284",35,89,"Cross-basin",39.3258426966292
"285",17,89,"Cross-basin",19.1011235955056
"286",34,89,"Cross-basin",38.2022471910112
"287",17,89,"Cross-basin",19.1011235955056
"288",36,89,"Cross-basin",40.4494382022472
"289",33,89,"Cross-basin",37.0786516853933
"290",32,89,"Cross-basin",35.9550561797753
"291",27,89,"Cross-basin",30.3370786516854
"292",16,89,"Cross-basin",17.9775280898876
"293",38,89,"Cross-basin",42.6966292134831
"294",29,89,"Cross-basin",32.5842696629214
