"","n_cells_null","n_cells_sum","scale","null_percentage"
"1",10,89,"Cross-basin",11.2359550561798
"2",10,89,"Cross-basin",11.2359550561798
"3",10,89,"Cross-basin",11.2359550561798
"4",10,89,"Cross-basin",11.2359550561798
"5",13,89,"Cross-basin",14.6067415730337
"6",15,89,"Cross-basin",16.8539325842697
"7",12,89,"Cross-basin",13.4831460674157
"8",10,89,"Cross-basin",11.2359550561798
"9",12,89,"Cross-basin",13.4831460674157
"10",10,89,"Cross-basin",11.2359550561798
"11",9,89,"Cross-basin",10.1123595505618
"12",12,89,"Cross-basin",13.4831460674157
"13",7,89,"Cross-basin",7.86516853932584
"14",9,89,"Cross-basin",10.1123595505618
"15",13,89,"Cross-basin",14.6067415730337
"16",13,89,"Cross-basin",14.6067415730337
"17",9,89,"Cross-basin",10.1123595505618
"18",16,89,"Cross-basin",17.9775280898876
"19",11,89,"Cross-basin",12.3595505617978
"20",10,89,"Cross-basin",11.2359550561798
"21",14,89,"Cross-basin",15.7303370786517
"22",15,89,"Cross-basin",16.8539325842697
"23",11,89,"Cross-basin",12.3595505617978
"24",12,89,"Cross-basin",13.4831460674157
"25",10,89,"Cross-basin",11.2359550561798
"26",7,89,"Cross-basin",7.86516853932584
"27",9,89,"Cross-basin",10.1123595505618
"28",12,89,"Cross-basin",13.4831460674157
"29",11,89,"Cross-basin",12.3595505617978
"30",8,89,"Cross-basin",8.98876404494382
"31",13,89,"Cross-basin",14.6067415730337
"32",12,89,"Cross-basin",13.4831460674157
"33",8,89,"Cross-basin",8.98876404494382
"34",11,89,"Cross-basin",12.3595505617978
"35",5,89,"Cross-basin",5.61797752808989
"36",12,89,"Cross-basin",13.4831460674157
"37",7,89,"Cross-basin",7.86516853932584
"38",9,89,"Cross-basin",10.1123595505618
"39",11,89,"Cross-basin",12.3595505617978
"40",13,89,"Cross-basin",14.6067415730337
"41",13,89,"Cross-basin",14.6067415730337
"42",10,89,"Cross-basin",11.2359550561798
"43",12,89,"Cross-basin",13.4831460674157
"44",14,89,"Cross-basin",15.7303370786517
"45",8,89,"Cross-basin",8.98876404494382
"46",13,89,"Cross-basin",14.6067415730337
"47",13,89,"Cross-basin",14.6067415730337
"48",12,89,"Cross-basin",13.4831460674157
"49",14,89,"Cross-basin",15.7303370786517
"50",8,89,"Cross-basin",8.98876404494382
"51",6,89,"Cross-basin",6.74157303370786
"52",8,89,"Cross-basin",8.98876404494382
"53",14,89,"Cross-basin",15.7303370786517
"54",13,89,"Cross-basin",14.6067415730337
"55",16,89,"Cross-basin",17.9775280898876
"56",9,89,"Cross-basin",10.1123595505618
"57",11,89,"Cross-basin",12.3595505617978
"58",9,89,"Cross-basin",10.1123595505618
"59",14,89,"Cross-basin",15.7303370786517
"60",16,89,"Cross-basin",17.9775280898876
"61",10,89,"Cross-basin",11.2359550561798
"62",13,89,"Cross-basin",14.6067415730337
"63",11,89,"Cross-basin",12.3595505617978
"64",13,89,"Cross-basin",14.6067415730337
"65",11,89,"Cross-basin",12.3595505617978
"66",16,89,"Cross-basin",17.9775280898876
"67",15,89,"Cross-basin",16.8539325842697
"68",12,89,"Cross-basin",13.4831460674157
"69",11,89,"Cross-basin",12.3595505617978
"70",12,89,"Cross-basin",13.4831460674157
"71",11,89,"Cross-basin",12.3595505617978
"72",9,89,"Cross-basin",10.1123595505618
"73",14,89,"Cross-basin",15.7303370786517
"74",13,89,"Cross-basin",14.6067415730337
"75",9,89,"Cross-basin",10.1123595505618
"76",12,89,"Cross-basin",13.4831460674157
"77",5,89,"Cross-basin",5.61797752808989
"78",15,89,"Cross-basin",16.8539325842697
"79",14,89,"Cross-basin",15.7303370786517
"80",9,89,"Cross-basin",10.1123595505618
"81",9,89,"Cross-basin",10.1123595505618
"82",17,89,"Cross-basin",19.1011235955056
"83",12,89,"Cross-basin",13.4831460674157
"84",15,89,"Cross-basin",16.8539325842697
"85",17,89,"Cross-basin",19.1011235955056
"86",10,89,"Cross-basin",11.2359550561798
"87",10,89,"Cross-basin",11.2359550561798
"88",13,89,"Cross-basin",14.6067415730337
"89",9,89,"Cross-basin",10.1123595505618
"90",8,89,"Cross-basin",8.98876404494382
"91",13,89,"Cross-basin",14.6067415730337
"92",13,89,"Cross-basin",14.6067415730337
"93",13,89,"Cross-basin",14.6067415730337
"94",15,89,"Cross-basin",16.8539325842697
"95",14,89,"Cross-basin",15.7303370786517
"96",13,89,"Cross-basin",14.6067415730337
"97",10,89,"Cross-basin",11.2359550561798
"98",13,89,"Cross-basin",14.6067415730337
"99",13,89,"Cross-basin",14.6067415730337
"100",9,89,"Cross-basin",10.1123595505618
"101",14,89,"Cross-basin",15.7303370786517
"102",9,89,"Cross-basin",10.1123595505618
"103",17,89,"Cross-basin",19.1011235955056
"104",8,89,"Cross-basin",8.98876404494382
"105",13,89,"Cross-basin",14.6067415730337
"106",14,89,"Cross-basin",15.7303370786517
"107",17,89,"Cross-basin",19.1011235955056
"108",12,89,"Cross-basin",13.4831460674157
"109",7,89,"Cross-basin",7.86516853932584
"110",12,89,"Cross-basin",13.4831460674157
"111",13,89,"Cross-basin",14.6067415730337
"112",10,89,"Cross-basin",11.2359550561798
"113",11,89,"Cross-basin",12.3595505617978
"114",11,89,"Cross-basin",12.3595505617978
"115",10,89,"Cross-basin",11.2359550561798
"116",12,89,"Cross-basin",13.4831460674157
"117",12,89,"Cross-basin",13.4831460674157
"118",12,89,"Cross-basin",13.4831460674157
"119",10,89,"Cross-basin",11.2359550561798
"120",10,89,"Cross-basin",11.2359550561798
"121",5,89,"Cross-basin",5.61797752808989
"122",11,89,"Cross-basin",12.3595505617978
"123",10,89,"Cross-basin",11.2359550561798
"124",9,89,"Cross-basin",10.1123595505618
"125",12,89,"Cross-basin",13.4831460674157
"126",13,89,"Cross-basin",14.6067415730337
"127",17,89,"Cross-basin",19.1011235955056
"128",9,89,"Cross-basin",10.1123595505618
"129",9,89,"Cross-basin",10.1123595505618
"130",13,89,"Cross-basin",14.6067415730337
"131",10,89,"Cross-basin",11.2359550561798
"132",10,89,"Cross-basin",11.2359550561798
"133",18,89,"Cross-basin",20.2247191011236
"134",11,89,"Cross-basin",12.3595505617978
"135",10,89,"Cross-basin",11.2359550561798
"136",10,89,"Cross-basin",11.2359550561798
"137",14,89,"Cross-basin",15.7303370786517
