"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"alpha",0.153689296230569,0.00213651896930882,0.838849829664058,0.95,"median","qi","PRICO"
"2","French Frigate",2,"alpha",0.549723588518495,0.198375237380333,0.944032577439661,0.95,"median","qi","NWHI"
"3","Guam",3,"alpha",0.229822522939583,0.0202599939425362,0.898702106125398,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"alpha",0.393855236991191,0.117972108452691,0.968837146835822,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"alpha",0.504560813444285,0.161608658274378,0.929163038411438,0.95,"median","qi","MHI"
"6","Kauai",6,"alpha",0.174700037993956,0.00277148352743655,0.876745545854905,0.95,"median","qi","MHI"
"7","Keys_lower",7,"alpha",0.278657103485212,0.0344372516466551,0.851116330214306,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"alpha",0.146583207114239,0.00765081888172784,0.710004991315245,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"alpha",0.14161869498376,0.00158479233793494,0.820844257925602,0.95,"median","qi","FLORIDA"
"10","Kure",10,"alpha",0.222469946238696,0.00372553841070155,0.884515321718581,0.95,"median","qi","NWHI"
"11","Lanai",11,"alpha",0.62385711003561,0.250052068447696,0.983182752256613,0.95,"median","qi","MHI"
"12","Lisianski",12,"alpha",0.404112673360302,0.082423033912451,0.938725857058916,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"alpha",0.83274566449649,0.373068213973754,0.996045337172004,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"alpha",0.425589815784295,0.0656961653062324,0.967874587421554,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"alpha",0.246625474551826,0.0094664160520219,0.927106229511652,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"alpha",0.606918275865777,0.184524806393296,0.982952397384155,0.95,"median","qi","MARIAN"
"17","Maui",17,"alpha",0.250704819128769,0.0929914113564658,0.511194957290434,0.95,"median","qi","MHI"
"18","Molokai",18,"alpha",0.227837998885801,0.0740522496436635,0.494408120625106,0.95,"median","qi","MHI"
"19","Niihau",19,"alpha",0.174096699661971,0.00238278052017947,0.85637063625235,0.95,"median","qi","MHI"
"20","NPRICO",20,"alpha",0.212720011248517,0.00356921298677865,0.86560582536865,0.95,"median","qi","PRICO"
"21","Oahu",21,"alpha",0.53362467993049,0.158175675367207,0.974216196963807,0.95,"median","qi","MHI"
"22","Pearl & Hermes",22,"alpha",0.197653585606724,0.00289762699718718,0.885412603530059,0.95,"median","qi","NWHI"
"23","Rose",23,"alpha",0.349723503133139,0.0359571179506222,0.945203741033706,0.95,"median","qi","SAMOA"
"24","Rota",24,"alpha",0.241410110571405,0.00405118725532318,0.902143447549244,0.95,"median","qi","MARIAN"
"25","SEFCRI",25,"alpha",0.181174673603993,0.00237461101159328,0.825789013703455,0.95,"median","qi","FLORIDA"
"26","STJ",26,"alpha",0.593426017989063,0.153917038163113,0.976924949916945,0.95,"median","qi","USVI"
"27","STT",27,"alpha",0.147043787753685,0.00237987540331785,0.796322831515659,0.95,"median","qi","USVI"
"28","STT_STJ_offshore",28,"alpha",0.179543548805946,0.00298949471553987,0.861150665695104,0.95,"median","qi","USVI"
"29","STX",29,"alpha",0.354732738488085,0.0353653955047023,0.952652130025327,0.95,"median","qi","USVI"
"30","SWPRICO",30,"alpha",0.440630264527877,0.0580134440322385,0.977366244806633,0.95,"median","qi","PRICO"
"31","Tortugas",31,"alpha",0.512278718612725,0.0883433497198677,0.984933394196426,0.95,"median","qi","FLORIDA"
"32","Tutuila",32,"alpha",0.647099559862985,0.276570345006843,0.972891678212534,0.95,"median","qi","SAMOA"
"33","EPRICO",1,"alpha",0.153689296230569,0.0132976419364177,0.577275754765456,0.8,"median","qi","PRICO"
"34","French Frigate",2,"alpha",0.549723588518495,0.299666844832218,0.840279132715994,0.8,"median","qi","NWHI"
"35","Guam",3,"alpha",0.229822522939583,0.0460093164007072,0.676933591640525,0.8,"median","qi","MARIAN"
"36","Hawaii",4,"alpha",0.393855236991191,0.181825315599003,0.817094481462577,0.8,"median","qi","MHI"
