"","beta_name","i",".variable",".value",".lower",".upper",".width",".point",".interval"
"1","human_pop50_log_z",1,"beta",-1.03667564431526,-2.22923976551052,0.105592458118922,0.95,"median","qi"
"2","kd490_cv_z",3,"beta",-0.152037017752019,-1.39316972902092,1.17335399234943,0.95,"median","qi"
"3","kd490_mean_z",2,"beta",0.782516291746779,-0.45904689498062,2.06626909944726,0.95,"median","qi"
"4","nAll_30yr_z",4,"beta",-0.705312620160824,-1.98204469331183,0.722474855268296,0.95,"median","qi"
"5","npp_cv_z",5,"beta",-0.321321260621392,-1.74956502941245,0.763411258059889,0.95,"median","qi"
"6","npp_mean_z",6,"beta",-0.170093107689991,-1.4303340794514,1.18382341720503,0.95,"median","qi"
"7","sst_cv_z",7,"beta",-0.92652022270122,-2.38921931337784,0.679290895355041,0.95,"median","qi"
"8","wave_cv_z",8,"beta",-0.722532780813654,-1.58084244129956,0.0437746419965482,0.95,"median","qi"
"9","wave_mean_z",9,"beta",-0.12544358760194,-1.08703969047235,0.798544188676734,0.95,"median","qi"
"10","human_pop50_log_z",1,"beta",-1.03667564431526,-1.80269355962158,-0.281262135036046,0.8,"median","qi"
"11","kd490_cv_z",3,"beta",-0.152037017752019,-0.96380291295572,0.68135351331236,0.8,"median","qi"
"12","kd490_mean_z",2,"beta",0.782516291746779,-0.0303414346418097,1.61684157429089,0.8,"median","qi"
"13","nAll_30yr_z",4,"beta",-0.705312620160824,-1.54101376756828,0.196533028740698,0.8,"median","qi"
"14","npp_cv_z",5,"beta",-0.321321260621392,-1.16825777371574,0.393774851168843,0.8,"median","qi"
"15","npp_mean_z",6,"beta",-0.170093107689991,-0.973051267797346,0.67406240936989,0.8,"median","qi"
"16","sst_cv_z",7,"beta",-0.92652022270122,-1.88367599089874,0.106197270270469,0.8,"median","qi"
"17","wave_cv_z",8,"beta",-0.722532780813654,-1.26293675359634,-0.212464680596245,0.8,"median","qi"
"18","wave_mean_z",9,"beta",-0.12544358760194,-0.737231876952843,0.483255402063538,0.8,"median","qi"
