Information and diagnostics 
=========================== 
Total iter:                       130000 
Burn-in:                          50009 
Thin:                             10 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        2172 


Model summary 
============= 
                mean     sd    2.5%     50%   97.5% Rhat n.eff
alpha[1]       0.996  1.754  -1.577   0.691   5.317 1.00  3803
alpha[2]      -0.454  1.426  -2.896  -0.577   2.801 1.00  8792
alpha[3]      -2.294  2.171  -6.968  -2.206   1.854 1.00  5957
alpha[4]      -0.386  1.509  -2.446  -0.666   3.531 1.00  2172
alpha[5]       1.388  1.779  -1.332   1.117   5.677 1.00  7560
alpha[6]      -2.581  2.184  -7.268  -2.482   1.594 1.00  5129
alpha[7]      -1.308  0.892  -3.151  -1.266   0.320 1.00  4768
alpha[8]      -2.930  0.940  -4.899  -2.880  -1.223 1.00  4667
alpha[9]      -1.025  1.556  -3.502  -1.202   2.740 1.00  5097
alpha[10]     -1.823  2.379  -7.040  -1.677   2.647 1.00  7328
alpha[11]     -0.322  1.263  -2.212  -0.508   2.816 1.00  5720
alpha[12]     -0.930  2.429  -5.429  -1.061   4.308 1.00  7759
alpha[13]      2.180  1.760  -0.486   1.921   6.458 1.00  5248
alpha[14]     -2.286  2.188  -6.905  -2.218   1.907 1.00  7068
alpha[15]     -1.155  1.922  -4.467  -1.319   3.227 1.00  6759
alpha[16]      0.844  1.880  -2.314   0.649   5.200 1.00 11316
alpha[17]      0.723  1.453  -1.157   0.422   4.506 1.00  4551
alpha[18]     -1.036  0.610  -2.271  -1.028   0.145 1.00  8357
alpha[19]     -2.450  2.145  -7.088  -2.341   1.617 1.00  6905
alpha[20]      1.012  1.967  -2.012   0.708   5.690 1.00  4327
alpha[21]     -1.734  1.597  -4.615  -1.838   1.771 1.00  4058
alpha[22]     -2.235  2.869  -8.121  -2.142   3.397 1.00  3436
alpha[23]     -0.124  1.935  -3.378  -0.322   4.391 1.00 14511
alpha[24]     -1.602  2.358  -6.527  -1.526   3.011 1.00 11881
alpha[25]     -2.900  2.277  -7.802  -2.777   1.288 1.00  3632
alpha[26]      2.928  1.844   0.065   2.689   7.230 1.00  5035
alpha[27]      3.258  1.813   0.466   2.994   7.570 1.00  4757
alpha[28]     -0.626  0.959  -2.468  -0.640   1.313 1.00  9589
alpha[29]      0.223  1.469  -2.008   0.020   3.710 1.00  4520
alpha[30]      2.130  1.865  -0.683   1.848   6.540 1.00  3522
alpha[31]      1.280  1.590  -1.270   1.075   5.022 1.00  3984
alpha[32]      1.369  1.376  -0.574   1.139   4.792 1.00  6823
beta[1]       -0.637  0.634  -1.914  -0.622   0.553 1.00  6799
beta[2]        2.469  0.581   1.375   2.457   3.651 1.00  8707
beta[3]        0.151  0.435  -0.648   0.128   1.077 1.00 11635
beta[4]       -0.099  0.603  -1.297  -0.101   1.084 1.00  7618
beta[5]       -0.444  0.600  -1.691  -0.417   0.684 1.00  5324
beta[6]        0.331  0.548  -0.710   0.319   1.458 1.00  8556
beta[7]       -0.898  0.877  -2.531  -0.926   0.883 1.00  3721
beta[8]       -0.395  0.489  -1.355  -0.397   0.573 1.00  8314
beta[9]        0.004  0.535  -1.043   0.003   1.059 1.00  6766
d.chi2b.data 449.130 71.205 332.470 441.238 609.996 1.00  4080
d.chi2b.sim  383.929 70.414 268.577 376.663 540.876 1.00  5859
d.ftd.data    99.997  9.917  81.184  99.815 119.878 1.00  4823
d.ftd.sim     95.122  9.116  77.828  94.995 113.273 1.00  5838
eta[1]        -2.817  0.531  -3.848  -2.827  -1.768 1.00 10507
eta[2]        -1.078  0.516  -2.075  -1.082  -0.056 1.00 17365
eta[3]        -2.629  1.241  -5.138  -2.628  -0.205 1.00 10338
eta[4]        -1.919  0.635  -3.153  -1.901  -0.736 1.00  3854
eta[5]        -1.729  0.800  -3.319  -1.735  -0.143 1.00 21657
eta[6]        -2.684  1.238  -5.156  -2.681  -0.289 1.00  9598
eta[7]        -0.899  0.348  -1.598  -0.891  -0.230 1.00 24088
eta[8]         0.152  0.522  -0.849   0.146   1.201 1.00 22927
eta[9]        -2.685  0.646  -3.966  -2.678  -1.453 1.00 10372
eta[10]       -2.444  1.245  -4.926  -2.441   0.004 1.00 15979
eta[11]       -1.673  0.721  -3.087  -1.667  -0.290 1.00 10403
eta[12]       -2.758  0.926  -4.559  -2.777  -0.800 1.00 11515
eta[13]       -1.605  0.306  -2.211  -1.600  -1.010 1.00 22758
eta[14]       -2.622  1.253  -5.161  -2.605  -0.171 1.00 11636
eta[15]       -2.529  1.056  -4.526  -2.550  -0.416 1.00 10881
eta[16]       -2.932  0.627  -4.278  -2.891  -1.820 1.00 20070
eta[17]       -1.520  0.410  -2.314  -1.518  -0.727 1.00  9786
eta[18]       -0.306  0.312  -0.930  -0.299   0.286 1.00 23291
eta[19]       -2.597  1.268  -5.150  -2.585  -0.128 1.00 13412
