"","i",".variable",".value",".lower",".upper",".width",".point",".interval","cell_2.5"
"1",1,"psi",0.147254401698867,0.0415063902602868,0.380435016593099,0.95,"median","qi","-81.312_24.562"
"2",2,"psi",0.278585862534105,0.107318638730881,0.542954170941665,0.95,"median","qi","-81.354_24.562"
"3",3,"psi",0.484639165814795,0.254332507534976,0.739466215415619,0.95,"median","qi","-81.396_24.562"
"4",4,"psi",0.793052008194708,0.524057263994447,0.943713565974172,0.95,"median","qi","-81.396_24.604"
"5",5,"psi",0.121433301945116,0.0318336171414293,0.333566415624351,0.95,"median","qi","-81.438_24.521"
"6",6,"psi",0.625817594995267,0.375748427044708,0.844578360995137,0.95,"median","qi","-81.438_24.562"
"7",7,"psi",0.838298747649621,0.579083999395077,0.961575697047345,0.95,"median","qi","-81.438_24.604"
"8",8,"psi",0.150491056091954,0.0439120036001203,0.375669446033252,0.95,"median","qi","-81.479_24.521"
"9",9,"psi",0.710211006461623,0.445481370023485,0.899003585736222,0.95,"median","qi","-81.479_24.562"
"10",10,"psi",0.233525749162002,0.084676241063667,0.485149871394166,0.95,"median","qi","-81.521_24.521"
"11",11,"psi",0.285153212799696,0.116559327634966,0.541981296543083,0.95,"median","qi","-81.562_24.521"
"12",12,"psi",0.72809049988541,0.464411480601991,0.9105238453539,0.95,"median","qi","-81.562_24.562"
"13",13,"psi",0.941408518193485,0.663117570648642,0.994595332275781,0.95,"median","qi","-81.562_24.604"
"14",14,"psi",0.462583549425937,0.244882427762473,0.718015685552514,0.95,"median","qi","-81.604_24.521"
"15",15,"psi",0.856743036956449,0.461962182688913,0.982520386357554,0.95,"median","qi","-81.604_24.562"
"16",16,"psi",0.132674243667275,0.0356841802003664,0.35143932336559,0.95,"median","qi","-81.646_24.479"
"17",17,"psi",0.608142271439426,0.361694682843061,0.832470425121371,0.95,"median","qi","-81.646_24.521"
"18",18,"psi",0.712227634232966,0.441692175737075,0.903652613652344,0.95,"median","qi","-81.646_24.562"
"19",19,"psi",0.16397127259751,0.0497077309168309,0.396218759482774,0.95,"median","qi","-81.688_24.479"
"20",20,"psi",0.586806916869525,0.340810002528624,0.818929251064948,0.95,"median","qi","-81.688_24.521"
"21",21,"psi",0.723807574138347,0.451051815260874,0.910888427598875,0.95,"median","qi","-81.688_24.562"
"22",22,"psi",0.2090527375066,0.071771082695254,0.455130213412709,0.95,"median","qi","-81.729_24.479"
"23",23,"psi",0.585601113713323,0.338467893310768,0.820254108657318,0.95,"median","qi","-81.729_24.521"
"24",24,"psi",0.239110585792443,0.0876134592381479,0.494400110533492,0.95,"median","qi","-81.771_24.479"
"25",25,"psi",0.314377857381339,0.134805288668428,0.575770664935987,0.95,"median","qi","-81.812_24.479"
"26",26,"psi",0.113044241781816,0.0291480166507432,0.318963940968091,0.95,"median","qi","-81.854_24.438"
"27",27,"psi",0.505049730948689,0.272350880614872,0.756974140940201,0.95,"median","qi","-81.854_24.479"
"28",28,"psi",0.127780442552734,0.0348753807511386,0.341952789970191,0.95,"median","qi","-81.896_24.438"
"29",29,"psi",0.409078905988318,0.20399124430014,0.672129697740381,0.95,"median","qi","-81.896_24.479"
"30",30,"psi",0.133737655539203,0.037409151582348,0.35022072817948,0.95,"median","qi","-81.938_24.438"
"31",31,"psi",0.372867263275429,0.178101583609304,0.63560131243657,0.95,"median","qi","-81.938_24.479"
"32",32,"psi",0.772933808567457,0.515161948156961,0.931168745000173,0.95,"median","qi","-81.938_24.521"
"33",33,"psi",0.129527093509389,0.0359741031671523,0.34418414711288,0.95,"median","qi","-81.979_24.438"
"34",34,"psi",0.365920056140955,0.172158598703491,0.628735882141411,0.95,"median","qi","-81.979_24.479"
"35",35,"psi",0.0257424275713942,0.0039307110623584,0.114693489909981,0.95,"median","qi","-80.438_24.938"
"36",36,"psi",0.0641011856223635,0.0134317536951285,0.204745122639625,0.95,"median","qi","-80.479_24.938"
"37",37,"psi",0.0552930634943508,0.00708613703373984,0.270801566020296,0.95,"median","qi","-80.521_24.896"
"38",38,"psi",0.392443734977702,0.130212203891114,0.712867184764856,0.95,"median","qi","-80.521_24.938"
"39",39,"psi",0.0259235708444617,0.00397458786538881,0.116696849550407,0.95,"median","qi","-80.562_24.854"
"40",40,"psi",0.152617950347332,0.0397651941897389,0.38875775791915,0.95,"median","qi","-80.562_24.896"
"41",41,"psi",0.583989839980934,0.245149767245655,0.858962177339764,0.95,"median","qi","-80.562_24.938"
"42",42,"psi",0.0604018894327552,0.0123241031973876,0.197624377643263,0.95,"median","qi","-80.604_24.854"
"43",43,"psi",0.520100830883745,0.204366482248546,0.815632858464834,0.95,"median","qi","-80.604_24.896"
"44",44,"psi",0.0255140995753846,0.00404770420289745,0.111498174781402,0.95,"median","qi","-80.646_24.812"
"45",45,"psi",0.281225635780072,0.0939242980709335,0.567396444019075,0.95,"median","qi","-80.646_24.854"
"46",46,"psi",0.0754040403377031,0.0172827207779163,0.225078084123196,0.95,"median","qi","-80.688_24.812"
"47",47,"psi",0.0391644722541156,0.0073042449763638,0.145477873358335,0.95,"median","qi","-80.729_24.771"
"48",48,"psi",0.0243263843831961,0.00372060832729332,0.108857817555093,0.95,"median","qi","-80.771_24.729"
"49",49,"psi",0.289637493922229,0.0971703771959909,0.579634928056039,0.95,"median","qi","-80.771_24.771"
"50",50,"psi",0.0456081301571211,0.00865767498996426,0.16277748984507,0.95,"median","qi","-80.812_24.729"
"51",51,"psi",0.159513427139707,0.0461788826907334,0.384606418960179,0.95,"median","qi","-80.854_24.729"
"52",52,"psi",0.0254740000965566,0.00406512478381944,0.110742895327769,0.95,"median","qi","-80.896_24.688"
"53",53,"psi",0.0548731922012972,0.0115375723035895,0.182688069558299,0.95,"median","qi","-80.938_24.688"
"54",54,"psi",0.407148722812995,0.143695597944545,0.727485012257852,0.95,"median","qi","-80.938_24.729"
"55",55,"psi",0.021010693619279,0.00296824493404215,0.103385750390642,0.95,"median","qi","-80.979_24.646"
"56",56,"psi",0.212849236777233,0.0681252513736904,0.465566398663569,0.95,"median","qi","-80.979_24.688"
"57",57,"psi",0.0311394050801278,0.00511272454886096,0.131057714267995,0.95,"median","qi","-81.021_24.646"
"58",58,"psi",0.0593547628041914,0.0123126464967072,0.200818437364221,0.95,"median","qi","-81.062_24.646"
"59",59,"psi",0.338079322818025,0.111500485190855,0.66399272503894,0.95,"median","qi","-81.062_24.688"
"60",60,"psi",0.0227517158000688,0.00327572812650757,0.108007470524626,0.95,"median","qi","-81.104_24.604"
"61",61,"psi",0.215640079293875,0.0663226719344431,0.488847950843411,0.95,"median","qi","-81.104_24.646"
"62",62,"psi",0.389115985118167,0.136969372333447,0.708232167124563,0.95,"median","qi","-81.146_24.646"
"63",63,"psi",0.0521574047030845,0.0101459372904823,0.185889706390544,0.95,"median","qi","-81.188_24.604"
"64",64,"psi",0.0975711576989797,0.0239776762372788,0.281142126048799,0.95,"median","qi","-81.229_24.604"
"65",65,"psi",0.244325037984433,0.0758400929059413,0.538278020313248,0.95,"median","qi","-81.271_24.604"
"66",66,"psi",0.220421309002592,0.0348611630223685,0.941804651659142,0.95,"median","qi","-80.104_25.438"
"67",67,"psi",0.133604478365221,0.0162146543642549,0.897263853656918,0.95,"median","qi","-80.104_25.479"
"68",68,"psi",0.208940362922209,0.0298194477223279,0.939805794142995,0.95,"median","qi","-80.104_25.521"
"69",69,"psi",0.774113691657138,0.284136435584142,0.995649883784787,0.95,"median","qi","-80.104_25.562"
"70",70,"psi",0.265793108250131,0.0406920545145861,0.956115891051318,0.95,"median","qi","-80.104_25.604"
