"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"alpha",0.654950353685577,-1.43708815464806,4.6550308525676,0.95,"median","qi","PRICO"
"2","French Frigate",2,"alpha",0.538708419677162,-1.09761837957368,3.25114137800522,0.95,"median","qi","NWHI"
"3","Guam",3,"alpha",-0.201186915949828,-2.55934699264399,4.40663575773416,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"alpha",-0.571799035889747,-2.43796280031254,2.25637890062734,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"alpha",1.78249832304648,-0.872974160665121,6.08737233843085,0.95,"median","qi","MHI"
"6","Kauai",6,"alpha",-2.56951038823043,-7.33186805993606,2.59393168247699,0.95,"median","qi","MHI"
"7","Keys_lower",7,"alpha",-2.06613435750135,-3.74436119285861,-0.534586566807263,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"alpha",-3.39763424282866,-5.11634043388285,-1.89243001772093,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"alpha",-1.20789855414175,-3.34260554539199,2.43475729088971,0.95,"median","qi","FLORIDA"
"10","Kure",10,"alpha",-1.21113360509474,-5.86145679573829,2.55362697753461,0.95,"median","qi","NWHI"
"11","Lanai",11,"alpha",-0.365227535188856,-2.15269074222799,3.6242969216978,0.95,"median","qi","MHI"
"12","Lisianski",12,"alpha",-0.542365075702084,-3.36382928114402,4.23305589126015,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"alpha",1.97136905312048,-0.450942203738045,6.13453411219817,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"alpha",0.295167230468466,-2.23046289851584,4.77676585587785,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"alpha",-1.47582150577081,-4.83022262593637,3.4222324550683,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"alpha",1.72116472524076,-0.896358711196082,5.82108263652072,0.95,"median","qi","MARIAN"
"17","Maui",17,"alpha",0.317742110343491,-1.14062789685349,3.40192852025584,0.95,"median","qi","MHI"
"18","Molokai",18,"alpha",-0.933068625811548,-2.17621599924986,0.239248589735359,0.95,"median","qi","MHI"
"19","Niihau",19,"alpha",-2.61341803855745,-7.15528808767426,2.51225829057432,0.95,"median","qi","MHI"
"20","NPRICO",20,"alpha",0.655289779043322,-1.73032621475794,4.56813134535876,0.95,"median","qi","PRICO"
"21","Oahu",21,"alpha",-2.16275567151382,-5.07736867907665,1.75047531086107,0.95,"median","qi","MHI"
