"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"eta",0.0591124925817313,0.0216753949142476,0.141450462143228,0.95,"median","qi","PRICO"
"2","French Frigate",2,"eta",0.379898182031041,0.194330796245992,0.637776287513364,0.95,"median","qi","NWHI"
"3","Guam",3,"eta",0.125073609770117,0.0329341051591917,0.511754808698351,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"eta",0.141379137861565,0.0485171853412109,0.339528290967786,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"eta",0.16706627816079,0.0494976967188445,0.442046016257193,0.95,"median","qi","MHI"
"6","Kauai",6,"eta",0.0417489679207873,0.00392374052342812,0.363987083590448,0.95,"median","qi","MHI"
"7","Keys_lower",7,"eta",0.294927435845117,0.170203048551633,0.4460992253049,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"eta",0.538327292804127,0.296415742691572,0.768791943808507,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"eta",0.0660026911072095,0.019022674114314,0.191752066814319,0.95,"median","qi","FLORIDA"
"10","Kure",10,"eta",0.0905408969659225,0.0083148059509487,0.53606709070972,0.95,"median","qi","NWHI"
"11","Lanai",11,"eta",0.12423794986775,0.0425876982877602,0.310359058725723,0.95,"median","qi","MHI"
"12","Lisianski",12,"eta",0.0896610052634422,0.0212392755215922,0.331217177209346,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"eta",0.0563978409522995,0.0204148203540166,0.130750924191262,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"eta",0.0685674136340111,0.0200623452417933,0.197604696595165,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"eta",0.0550797118300091,0.00883146113954392,0.358365329698218,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"eta",0.117098910958852,0.057315477375169,0.209300702800411,0.95,"median","qi","MARIAN"
"17","Maui",17,"eta",0.1886047550573,0.0967309733287379,0.332587248642493,0.95,"median","qi","MHI"
"18","Molokai",18,"eta",0.455248179190127,0.316018109669161,0.60300357866473,0.95,"median","qi","MHI"
"19","Niihau",19,"eta",0.0446972315446957,0.00401746152467091,0.395720870719571,0.95,"median","qi","MHI"
"20","NPRICO",20,"eta",0.130384858995848,0.0424932446289196,0.315263168220709,0.95,"median","qi","PRICO"
"21","Oahu",21,"eta",0.0493737405533199,0.00700022388663248,0.263497116637536,0.95,"median","qi","MHI"
"22","Pearl & Hermes",22,"eta",0.0565496179600425,0.0053633861543788,0.393720125492874,0.95,"median","qi","NWHI"
"23","Rose",23,"eta",0.066318853016002,0.00555906044475927,0.499583952682479,0.95,"median","qi","SAMOA"
"24","Rota",24,"eta",0.0848042331046792,0.0077648523991427,0.511512012819202,0.95,"median","qi","MARIAN"
"25","SEFCRI",25,"eta",0.0784233095122077,0.00639339311994719,0.503078248162673,0.95,"median","qi","FLORIDA"
"26","STJ",26,"eta",0.0510274025311322,0.0282418021956484,0.0833367497591523,0.95,"median","qi","USVI"
"27","STT",27,"eta",0.0712438695580702,0.0414390432789041,0.114203096930025,0.95,"median","qi","USVI"
"28","STT_STJ_offshore",28,"eta",0.382824744478986,0.179997725003924,0.62336872551706,0.95,"median","qi","USVI"
"29","STX",29,"eta",0.0520171108111238,0.0209994372626224,0.126349631068575,0.95,"median","qi","USVI"
"30","SWPRICO",30,"eta",0.0604642896447607,0.0295463161478567,0.120663331271733,0.95,"median","qi","PRICO"
"31","Tortugas",31,"eta",0.0978334831909862,0.0505706006461829,0.176486179429028,0.95,"median","qi","FLORIDA"
"32","Tutuila",32,"eta",0.109528925992651,0.0442576346029214,0.227511790788269,0.95,"median","qi","SAMOA"
"33","EPRICO",1,"eta",0.0591124925817313,0.0311806452427406,0.106560668632628,0.8,"median","qi","PRICO"
"34","French Frigate",2,"eta",0.379898182031041,0.247265109787904,0.545050524194951,0.8,"median","qi","NWHI"
"35","Guam",3,"eta",0.125073609770117,0.0512183724972137,0.342700721285857,0.8,"median","qi","MARIAN"
"36","Hawaii",4,"eta",0.141379137861565,0.0701568220231611,0.262517466481695,0.8,"median","qi","MHI"
"37","Kahoolawe",5,"eta",0.16706627816079,0.0783467416060791,0.320764965921332,0.8,"median","qi","MHI"
"38","Kauai",6,"eta",0.0417489679207873,0.00943924163227692,0.186758625144021,0.8,"median","qi","MHI"
"39","Keys_lower",7,"eta",0.294927435845117,0.209210047284756,0.391915611956367,0.8,"median","qi","FLORIDA"
"40","Keys_middle",8,"eta",0.538327292804127,0.378030165704082,0.697054241398069,0.8,"median","qi","FLORIDA"
"41","Keys_upper",9,"eta",0.0660026911072095,0.0295728162948192,0.136263703637015,0.8,"median","qi","FLORIDA"
"42","Kure",10,"eta",0.0905408969659225,0.0203747381021858,0.31479131444396,0.8,"median","qi","NWHI"
"43","Lanai",11,"eta",0.12423794986775,0.0623481136834521,0.234551460640287,0.8,"median","qi","MHI"
"44","Lisianski",12,"eta",0.0896610052634422,0.0361376996908509,0.217763704996878,0.8,"median","qi","NWHI"
"45","Manua_islands",13,"eta",0.0563978409522995,0.0297511201463678,0.0991732394175247,0.8,"median","qi","SAMOA"
"46","Marianas_lower",14,"eta",0.0685674136340111,0.0317552072447949,0.141167296898958,0.8,"median","qi","MARIAN"
"47","Marianas_middle",15,"eta",0.0550797118300091,0.0170092852670687,0.203116192079477,0.8,"median","qi","MARIAN"
"48","Marianas_upper",16,"eta",0.117098910958852,0.0746775049952176,0.173313548548327,0.8,"median","qi","MARIAN"
"49","Maui",17,"eta",0.1886047550573,0.121593181553401,0.277035323523108,0.8,"median","qi","MHI"
"50","Molokai",18,"eta",0.455248179190127,0.361321546365331,0.552021602488532,0.8,"median","qi","MHI"
"51","Niihau",19,"eta",0.0446972315446957,0.00962446637148845,0.202475600603644,0.8,"median","qi","MHI"
"52","NPRICO",20,"eta",0.130384858995848,0.0642294004349138,0.243706126035576,0.8,"median","qi","PRICO"
"53","Oahu",21,"eta",0.0493737405533199,0.0137663957840789,0.157017683748967,0.8,"median","qi","MHI"
"54","Pearl & Hermes",22,"eta",0.0565496179600425,0.0130165943930913,0.212307529353222,0.8,"median","qi","NWHI"
