"",".value",".upper",".variable","effective_size_rjags"
"sigma.alpha",1.003,1.01,"sigma.alpha",2864
"alpha[30]",1.003,1.009,"alpha[30]",4743
"alpha[22]",1.002,1.008,"alpha[22]",5360
"alpha[11]",1.004,1.007,"alpha[11]",5236
"alpha[19]",1.002,1.007,"alpha[19]",4415
"alpha[6]",1.001,1.005,"alpha[6]",3556
"alpha[14]",1.002,1.005,"alpha[14]",5984
"alpha[20]",1.002,1.005,"alpha[20]",6999
"alpha[4]",1.001,1.004,"alpha[4]",4414
"alpha[13]",1.001,1.004,"alpha[13]",8263
"alpha[32]",1.002,1.004,"alpha[32]",10805
"beta[1]",1.001,1.004,"beta[1]",8189
"eta[22]",1.001,1.004,"eta[22]",9258
"alpha[21]",1.001,1.003,"alpha[21]",3937
"alpha[27]",1.001,1.003,"alpha[27]",9046
"beta[2]",1.001,1.003,"beta[2]",9381
"eta[4]",1.001,1.003,"eta[4]",7148
"eta[21]",1.001,1.003,"eta[21]",6833
"eta[30]",1.001,1.003,"eta[30]",11960
"alpha[1]",1.001,1.002,"alpha[1]",4866
"alpha[3]",1.001,1.002,"alpha[3]",4686
"alpha[5]",1.001,1.002,"alpha[5]",7998
"alpha[12]",1.001,1.002,"alpha[12]",8635
"alpha[15]",1.001,1.002,"alpha[15]",6176
"alpha[16]",1.001,1.002,"alpha[16]",9654
"alpha[26]",1.001,1.002,"alpha[26]",10047
"alpha[31]",1.001,1.002,"alpha[31]",4098
"d.ftd.data",1.001,1.002,"d.ftd.data",5856
"d.ftd.sim",1.001,1.002,"d.ftd.sim",7186
"eta[6]",1,1.002,"eta[6]",6561
"eta[16]",1,1.002,"eta[16]",23913
"sigma.det",1.001,1.002,"sigma.det",10540
"alpha[8]",1,1.001,"alpha[8]",7111
"alpha[9]",1,1.001,"alpha[9]",5651
"alpha[17]",1,1.001,"alpha[17]",6783
"alpha[18]",1,1.001,"alpha[18]",11684
"alpha[23]",1.001,1.001,"alpha[23]",9626
"alpha[24]",1.001,1.001,"alpha[24]",12899
"alpha[25]",1.001,1.001,"alpha[25]",8030
"alpha[28]",1,1.001,"alpha[28]",17613
"alpha[29]",1,1.001,"alpha[29]",5364
"beta[5]",1,1.001,"beta[5]",7297
"beta[6]",1,1.001,"beta[6]",9016
"beta[7]",1,1.001,"beta[7]",8058
"beta[8]",1,1.001,"beta[8]",9362
"beta[9]",1,1.001,"beta[9]",7878
"d.chi2b.data",1.001,1.001,"d.chi2b.data",5202
"eta[3]",1,1.001,"eta[3]",7710
"eta[7]",1,1.001,"eta[7]",23939
"eta[10]",1,1.001,"eta[10]",20660
"eta[11]",1,1.001,"eta[11]",10694
"eta[13]",1,1.001,"eta[13]",20749
"eta[14]",1,1.001,"eta[14]",13695
"eta[15]",1,1.001,"eta[15]",8710
"eta[17]",1,1.001,"eta[17]",11653
"eta[18]",1,1.001,"eta[18]",24123
"eta[19]",1,1.001,"eta[19]",7056
"eta[23]",1,1.001,"eta[23]",14202
"eta[25]",1,1.001,"eta[25]",15696
"eta[27]",1,1.001,"eta[27]",24279
"eta[28]",1,1.001,"eta[28]",20961
"eta[29]",1,1.001,"eta[29]",11074
"eta[31]",1,1.001,"eta[31]",10244
"eta[32]",1,1.001,"eta[32]",16499
"alpha[2]",1,1,"alpha[2]",10659
"alpha[7]",1,1,"alpha[7]",7334
"alpha[10]",1,1,"alpha[10]",14320
"beta[3]",1,1,"beta[3]",11403
"beta[4]",1,1,"beta[4]",6228
"beta[10]",1,1,"beta[10]",8256
"d.chi2b.sim",1,1,"d.chi2b.sim",7406
"eta[1]",1,1,"eta[1]",12868
"eta[2]",1,1,"eta[2]",17218
"eta[5]",1,1,"eta[5]",21216
"eta[8]",1,1,"eta[8]",23586
"eta[9]",1,1,"eta[9]",11580
"eta[12]",1,1,"eta[12]",14776
"eta[20]",1,1,"eta[20]",16554
"eta[24]",1,1,"eta[24]",17411
"eta[26]",1,1,"eta[26]",23668
"mu.alpha",1,1,"mu.alpha",7182
"mu.det",1,1,"mu.det",9157
"p.chi2b",1,1,"p.chi2b",22092
"p.ftd",1,1,"p.ftd",22233
