"","group","i","JURISDICTION"
"1","EPRICO",1,"PRICO"
"2","French Frigate",2,"NWHI"
"3","Guam",3,"MARIAN"
"4","Hawaii",4,"MHI"
"5","Kahoolawe",5,"MHI"
"6","Kauai",6,"MHI"
"7","Keys_lower",7,"FLORIDA"
"8","Keys_middle",8,"FLORIDA"
"9","Keys_upper",9,"FLORIDA"
"10","Kure",10,"NWHI"
"11","Lanai",11,"MHI"
"12","Lisianski",12,"NWHI"
"13","Manua_islands",13,"SAMOA"
"14","Marianas_lower",14,"MARIAN"
"15","Marianas_middle",15,"MARIAN"
"16","Marianas_upper",16,"MARIAN"
"17","Maui",17,"MHI"
"18","Molokai",18,"MHI"
"19","Niihau",19,"MHI"
"20","NPRICO",20,"PRICO"
"21","Oahu",21,"MHI"
"22","Pearl & Hermes",22,"NWHI"
"23","Rose",23,"SAMOA"
"24","Rota",24,"MARIAN"
"25","SEFCRI",25,"FLORIDA"
"26","STJ",26,"USVI"
"27","STT",27,"USVI"
"28","STT_STJ_offshore",28,"USVI"
"29","STX",29,"USVI"
"30","SWPRICO",30,"PRICO"
"31","Tortugas",31,"FLORIDA"
"32","Tutuila",32,"SAMOA"
