"","ll_id","OCEAN","REGION","REGION_SUB","SI_LATI.x","SI_LONG.x","YEAR","DATE","SI_LONG_360","REGION_NEW","SI_LATI.y","SI_LONG.y","z","dist_km"
"1",1,"CARIB","PRICO","PRICO",17.8708212,-66.495211,2014,"5/21/2014",293.504789,"PRICO",17.8500328063965,-66.5131530761719,1.16,2.99487572259811
"2",2,"CARIB","PRICO","PRICO",17.869401,-66.255679,2014,"7/18/2014",293.744321,"PRICO",17.8500328063965,-66.2631759643555,1.19,2.2977296444821
"3",3,"CARIB","PRICO","PRICO",17.877454,-66.484271,2014,"5/21/2014",293.515729,"PRICO",17.8916893005371,-66.4714889526367,1.19,2.08442877851313
"4",4,"CARIB","PRICO","PRICO",17.8759394,-66.271139,2014,"7/18/2014",293.728861,"PRICO",17.8916893005371,-66.2631759643555,1.2,1.94567096817009
"5",5,"CARIB","PRICO","PRICO",17.8794847,-66.26637,2014,"7/18/2014",293.73363,"PRICO",17.8916893005371,-66.2631759643555,1.2,1.40011373415059
"6",6,"CARIB","PRICO","PRICO",17.8779394,-66.158413,2014,"7/14/2014",293.841587,"PRICO",17.8916893005371,-66.1381912231445,1.21,2.63292006716484
"7",7,"CARIB","PRICO","PRICO",17.8774343,-66.124001,2014,"7/17/2014",293.875999,"PRICO",17.8916893005371,-66.1381912231445,1.21,2.18588192896068
"8",8,"CARIB","PRICO","PRICO",17.878377,-66.157463,2014,"7/16/2014",293.842537,"PRICO",17.8916893005371,-66.1381912231445,1.21,2.52278034607169
"9",9,"CARIB","PRICO","PRICO",17.8795027,-66.111237,2014,"7/16/2014",293.888763,"PRICO",17.8916893005371,-66.0965347290039,1.21,2.06551466645809
"10",10,"CARIB","PRICO","PRICO",17.8858116,-66.502076,2014,"5/21/2014",293.497924,"PRICO",17.8916893005371,-66.5131530761719,1.18,1.34356529508026
"11",11,"CARIB","PRICO","PRICO",17.8865083,-66.48603,2014,"5/21/2014",293.51397,"PRICO",17.8916893005371,-66.4714889526367,1.19,1.64487053555493
"12",12,"CARIB","PRICO","PRICO",17.8892719,-66.192656,2014,"7/17/2014",293.807344,"PRICO",17.8916893005371,-66.1798553466797,1.21,1.38250220783912
"13",13,"CARIB","PRICO","PRICO",17.9149073,-66.248848,2014,"7/16/2014",293.751152,"PRICO",17.9333457946777,-66.2631759643555,1.2,2.55265239216059
"14",14,"CARIB","PRICO","PRICO",17.9265787,-66.089251,2014,"7/14/2014",293.910749,"PRICO",17.9333457946777,-66.0965347290039,1.22,1.07823859953633
"15",15,"CARIB","PRICO","PRICO",17.9361393,-66.06457,2014,"7/17/2014",293.93543,"PRICO",17.9333457946777,-66.0548706054688,1.23,1.07330195590917
"16",16,"CARIB","PRICO","PRICO",17.9422992,-66.024378,2014,"7/15/2014",293.975622,"PRICO",17.9333457946777,-66.0132064819336,1.21,1.5470131854493
"17",17,"CARIB","PRICO","PRICO",17.9445264,-66.081883,2014,"7/17/2014",293.918117,"PRICO",17.9333457946777,-66.0965347290039,1.22,1.9892077144955
