"","OCEAN","JURISDICTION","REGION","n","Ocean","Jurisdiction","Sub-jurisdiction","Region","Subregion"
"1","CARIB","FLORIDA","Keys_lower",34,"CARIB","FLORIDA","Keys_lower","Florida","Keys_lower"
"2","CARIB","FLORIDA","Keys_middle",31,"CARIB","FLORIDA","Keys_middle","Florida","Keys_middle"
"3","CARIB","FLORIDA","Keys_upper",38,"CARIB","FLORIDA","Keys_upper","Florida","Keys_upper"
"4","CARIB","FLORIDA","SEFCRI",41,"CARIB","FLORIDA","SEFCRI","Florida","Southeast_Florida"
"5","CARIB","FLORIDA","Tortugas",51,"CARIB","FLORIDA","Tortugas","Florida","Tortugas"
"6","CARIB","PRICO","EPRICO",46,"CARIB","PRICO","EPRICO","Puerto Rico","Puerto_Rico_east"
"7","CARIB","PRICO","NPRICO",21,"CARIB","PRICO","NPRICO","Puerto Rico","Puerto_Rico_north"
"8","CARIB","PRICO","SWPRICO",66,"CARIB","PRICO","SWPRICO","Puerto Rico","Puerto_Rico_southwest"
"9","CARIB","USVI","STJ",10,"CARIB","USVI","STJ","US Virgin Islands","StJohn"
"10","CARIB","USVI","STT",18,"CARIB","USVI","STT","US Virgin Islands","StThomas"
"11","CARIB","USVI","STT_STJ_offshore",16,"CARIB","USVI","STT_STJ_offshore","US Virgin Islands","StJohn_StThomas_offshore"
"12","CARIB","USVI","STX",33,"CARIB","USVI","STX","US Virgin Islands","StCroix"
"13","PACIFIC","MARIAN","Guam",30,"PACIFIC","MARIAN","Guam","Mariana Islands","Guam"
"14","PACIFIC","MARIAN","Marianas_lower",24,"PACIFIC","MARIAN","Marianas_lower","Mariana Islands","Marianas_lower"
"15","PACIFIC","MARIAN","Marianas_middle",18,"PACIFIC","MARIAN","Marianas_middle","Mariana Islands","Marianas_middle"
"16","PACIFIC","MARIAN","Marianas_upper",6,"PACIFIC","MARIAN","Marianas_upper","Mariana Islands","Marianas_upper"
"17","PACIFIC","MARIAN","Rota",8,"PACIFIC","MARIAN","Rota","Mariana Islands","Rota"
"18","PACIFIC","NWHI","French Frigate",30,"PACIFIC","NWHI","French Frigate","Northwest Hawaiian Islands","French_Frigate"
"19","PACIFIC","NWHI","Kure",8,"PACIFIC","NWHI","Kure","Northwest Hawaiian Islands","Kure"
"20","PACIFIC","NWHI","Lisianski",16,"PACIFIC","NWHI","Lisianski","Northwest Hawaiian Islands","Lisianski"
"21","PACIFIC","NWHI","Pearl & Hermes",23,"PACIFIC","NWHI","Pearl & Hermes","Northwest Hawaiian Islands","Pearl_Hermes"
"22","PACIFIC","MHI","Hawaii",74,"PACIFIC","MHI","Hawaii","Main Hawaiian Islands","Hawaii"
"23","PACIFIC","MHI","Kahoolawe",7,"PACIFIC","MHI","Kahoolawe","Main Hawaiian Islands","Kahoolawe"
"24","PACIFIC","MHI","Kauai",26,"PACIFIC","MHI","Kauai","Main Hawaiian Islands","Kauai"
"25","PACIFIC","MHI","Lanai",32,"PACIFIC","MHI","Lanai","Main Hawaiian Islands","Lanai"
"26","PACIFIC","MHI","Maui",37,"PACIFIC","MHI","Maui","Main Hawaiian Islands","Maui"
"27","PACIFIC","MHI","Molokai",41,"PACIFIC","MHI","Molokai","Main Hawaiian Islands","Molokai"
"28","PACIFIC","MHI","Niihau",19,"PACIFIC","MHI","Niihau","Main Hawaiian Islands","Niihau"
"29","PACIFIC","MHI","Oahu",47,"PACIFIC","MHI","Oahu","Main Hawaiian Islands","Oahu"
"30","PACIFIC","SAMOA","Manua_islands",12,"PACIFIC","SAMOA","Manua_islands","American Samoa","Manua_islands"
"31","PACIFIC","SAMOA","Rose",4,"PACIFIC","SAMOA","Rose","American Samoa","Rose"
"32","PACIFIC","SAMOA","Tutuila",23,"PACIFIC","SAMOA","Tutuila","American Samoa","Tutuila"
