"","ll_id","OCEAN","REGION","REGION_SUB","SI_LATI","SI_LONG","YEAR","DATE","long_bin_0.5","lat_bin_0.5","long_bin_2.5","lat_bin_2.5"
"1",1,"CARIB","PRICO","PRICO",17.8708212,-66.495211,2014,"5/21/2014",-66.4958333333333,17.8708333333333,-66.4791666666667,17.8541666666667
"2",2,"CARIB","PRICO","PRICO",17.869401,-66.255679,2014,"7/18/2014",-66.2541666666667,17.8708333333333,-66.2708333333333,17.8541666666667
"3",3,"CARIB","PRICO","PRICO",17.877454,-66.484271,2014,"5/21/2014",-66.4875,17.8791666666667,-66.4791666666667,17.8958333333333
"4",4,"CARIB","PRICO","PRICO",17.8759394,-66.271139,2014,"7/18/2014",-66.2708333333333,17.8791666666667,-66.2708333333333,17.8958333333333
"5",5,"CARIB","PRICO","PRICO",17.8794847,-66.26637,2014,"7/18/2014",-66.2625,17.8791666666667,-66.2708333333333,17.8958333333333
"6",6,"CARIB","PRICO","PRICO",17.8779394,-66.158413,2014,"7/14/2014",-66.1625,17.8791666666667,-66.1458333333333,17.8958333333333
"7",7,"CARIB","PRICO","PRICO",17.8774343,-66.124001,2014,"7/17/2014",-66.1208333333333,17.8791666666667,-66.1041666666667,17.8958333333333
"8",8,"CARIB","PRICO","PRICO",17.878377,-66.157463,2014,"7/16/2014",-66.1541666666667,17.8791666666667,-66.1458333333333,17.8958333333333
"9",9,"CARIB","PRICO","PRICO",17.8795027,-66.111237,2014,"7/16/2014",-66.1125,17.8791666666667,-66.1041666666667,17.8958333333333
"10",10,"CARIB","PRICO","PRICO",17.8858116,-66.502076,2014,"5/21/2014",-66.5041666666667,17.8875,-66.5208333333333,17.8958333333333
"11",11,"CARIB","PRICO","PRICO",17.8865083,-66.48603,2014,"5/21/2014",-66.4875,17.8875,-66.4791666666667,17.8958333333333
"12",12,"CARIB","PRICO","PRICO",17.8892719,-66.192656,2014,"7/17/2014",-66.1958333333333,17.8875,-66.1875,17.8958333333333
"13",13,"CARIB","PRICO","PRICO",17.9149073,-66.248848,2014,"7/16/2014",-66.2458333333333,17.9125,-66.2291666666667,17.8958333333333
"14",14,"CARIB","PRICO","PRICO",17.9265787,-66.089251,2014,"7/14/2014",-66.0875,17.9291666666667,-66.1041666666667,17.9375
