"","REGION","OCEAN","species","cover_mean"
"1","FGBNMS","CARIB","Orbicella.franksi",25.1373375831325
"2","FGBNMS","CARIB","Pseudodiploria.strigosa",8.44511583824754
"3","FGBNMS","CARIB","Porites.astreoides",6.69832348601529
"4","FGBNMS","CARIB","Orbicella.faveolata",5.43352732866936
"5","FGBNMS","CARIB","Montastraea.cavernosa",4.28809812697568
"6","FGBNMS","CARIB","Colpophyllia.natans",3.47127326818795
"7","FGBNMS","CARIB","Madracis.auretenra",1.23302477309481
"8","FGBNMS","CARIB","Millepora.spp",1.1627276312599
"9","FGBNMS","CARIB","Stephanocoenia.intersepta",1.02360012072848
"10","FGBNMS","CARIB","Madracis.decactis",0.599690743202752
"11","FGBNMS","CARIB","Siderastrea.siderea",0.576467495232782
"12","FGBNMS","CARIB","Agaricia.agaricites",0.417754394612249
"13","FGBNMS","CARIB","Orbicella.annularis",0.141764494123652
"14","FGBNMS","CARIB","Mussa.angulosa",0.106097221474852
"15","FGBNMS","CARIB","Siderastrea.radians",0.0765259271782622
"16","FGBNMS","CARIB","Agaricia.fragilis",0.0599625979921509
"17","FGBNMS","CARIB","Scolymia.cubensis",0.0531083411356136
"18","FGBNMS","CARIB","Orbicella.spp",0.0226612268914627
"19","FGBNMS","CARIB","Porites.furcata",0.00832500832500833
"20","FGBNMS","CARIB","Madracis.spp",0.00773036487322205
"21","FGBNMS","CARIB","Scolymia.spp",0.00765228037955311
"22","FGBNMS","CARIB","Colpophyllia.spp",0.00757575757575758
"23","FLK","CARIB","Siderastrea.siderea",2.32603342675567
"24","FLK","CARIB","Orbicella.faveolata",0.990276140425315
"25","FLK","CARIB","Millepora.spp",0.93004899022091
"26","FLK","CARIB","Porites.astreoides",0.836785648109608
"27","FLK","CARIB","Montastraea.cavernosa",0.61676217765043
"28","FLK","CARIB","Stephanocoenia.intersepta",0.558154060022432
"29","FLK","CARIB","Colpophyllia.natans",0.552336572829587
"30","FLK","CARIB","Orbicella.annularis",0.300143266475645
"31","FLK","CARIB","Porites.porites",0.267191977077364
"32","FLK","CARIB","Agaricia.agaricites",0.19415501722092
"33","FLK","CARIB","Pseudodiploria.strigosa",0.152623105780876
"34","FLK","CARIB","Porites.furcata",0.127507163323782
"35","FLK","CARIB","Dichocoenia.stokesii",0.123223640415617
"36","FLK","CARIB","Acropora.cervicornis",0.089541547277937
"37","FLK","CARIB","Meandrina.meandrites",0.0694842406876791
"38","FLK","CARIB","Siderastrea.radians",0.0678386122512197
"39","FLK","CARIB","Solenastrea.bournoni",0.0594555873925501
"40","FLK","CARIB","Porites.divaricata",0.0530085959885387
"41","FLK","CARIB","Diploria.labyrinthiformis",0.0386819484240688
"42","FLK","CARIB","Eusmilia.fastigiata",0.0265042979942693
"43","FLK","CARIB","Orbicella.franksi",0.0214899713467049
"44","FLK","CARIB","Oculina.diffusa",0.0179083094555874
"45","FLK","CARIB","Acropora.palmata",0.0100286532951289
"46","FLK","CARIB","Madracis.decactis",0.00787965616045845
"47","FLK","CARIB","Helioceris.cucullata",0.00429799426934097
"48","FLK","CARIB","Mussa.angulosa",0.00429799426934097
"49","FLK","CARIB","Oculina.robusta",0.00286532951289398
"50","FLK","CARIB","Mycetophyllia.aliciae",0.00143266475644699
"51","FLK","CARIB","Mycetophyllia.danaana",0.00143266475644699
"52","FLK","CARIB","Mycetophyllia.lamarckiana",0.00143266475644699
"53","FLK","CARIB","Mycetophyllia.spp",0.00143266475644699
"54","FLK","CARIB","Scolymia.cubensis",0.00143266475644699
"55","FLK","CARIB","Solenastrea.hyades",0.000716332378223496
"56","PRICO","CARIB","Porites.astreoides",1.22800544754276
"57","PRICO","CARIB","Siderastrea.siderea",0.903011685538018
"58","PRICO","CARIB","Montastraea.cavernosa",0.700729119025814
"59","PRICO","CARIB","Orbicella.faveolata",0.699753328331121
"60","PRICO","CARIB","Millepora.spp",0.658558707034465
"61","PRICO","CARIB","Pseudodiploria.strigosa",0.556430981505229
"62","PRICO","CARIB","Agaricia.agaricites",0.430053160763187
"63","PRICO","CARIB","Orbicella.franksi",0.344823449998636
"64","PRICO","CARIB","Orbicella.annularis",0.285110654535086
"65","PRICO","CARIB","Porites.porites",0.244764721111799
"66","PRICO","CARIB","Stephanocoenia.intersepta",0.2060148956913
"67","PRICO","CARIB","Meandrina.meandrites",0.124482373275632
"68","PRICO","CARIB","Colpophyllia.natans",0.105583327338295
"69","PRICO","CARIB","Agaricia.lamarcki",0.0944711217820462
"70","PRICO","CARIB","Diploria.labyrinthiformis",0.0941716230507504
"71","PRICO","CARIB","Siderastrea.radians",0.091596198602285
"72","PRICO","CARIB","Pseudodiploria.clivosa",0.0838189610509506
"73","PRICO","CARIB","Acropora.cervicornis",0.0761031991379653
"74","PRICO","CARIB","Madracis.decactis",0.0710855770879781
"75","PRICO","CARIB","Porites.divaricata",0.066103625916386
"76","PRICO","CARIB","Dichocoenia.stokesii",0.0611755209256869
"77","PRICO","CARIB","Agaricia.humilis",0.0560739447294069
"78","PRICO","CARIB","Agaricia.spp",0.0432177827451856
"79","PRICO","CARIB","Porites.furcata",0.0380938089521523
"80","PRICO","CARIB","Madracis.auretenra",0.0353245965996017
"81","PRICO","CARIB","Agaricia.fragilis",0.0330675560267397
"82","PRICO","CARIB","Acropora.palmata",0.0328864218954909
"83","PRICO","CARIB","Helioceris.cucullata",0.025118646626473
"84","PRICO","CARIB","Agaricia.grahamae",0.0229091636654662
"85","PRICO","CARIB","Eusmilia.fastigiata",0.0173951054558248
"86","PRICO","CARIB","Dendrogyra.cylindrus",0.0153066327040867
"87","PRICO","CARIB","Solenastrea.bournoni",0.015280864821176
"88","PRICO","CARIB","Mycetophyllia.aliciae",0.0076530612244898
"89","PRICO","CARIB","Other.coral",0.0076530612244898
"90","PRICO","CARIB","Favia.fragum",0.00515410245730946
"91","PRICO","CARIB","Scolymia.cubensis",0.00510204081632653
"92","PRICO","CARIB","Meandrina.spp",0.00507678318852293
"93","PRICO","CARIB","Siderastrea.spp",0.00257678829107401
"94","PRICO","CARIB","Manicina.areolata",0.00255102040816327
"95","PRICO","CARIB","Mycetophyllia.ferox",0.00255102040816327
"96","PRICO","CARIB","Mycetophyllia.spp",0.00255102040816327
"97","PRICO","CARIB","Cladocora.abruscula",0.00252576278035967
"98","PRICO","CARIB","Madracis.spp",0.00252576278035967
"99","PRICO","CARIB","Scleractinia.spp",0.00252576278035967
"100","PRICO","CARIB","Isophyllastrea.rigida",0.00250100040016006
"101","SEFCRI","CARIB","Siderastrea.siderea",0.406736439773009
"102","SEFCRI","CARIB","Montastraea.cavernosa",0.348316141433356
"103","SEFCRI","CARIB","Millepora.spp",0.294161661223354
"104","SEFCRI","CARIB","Stephanocoenia.intersepta",0.164912654116608
"105","SEFCRI","CARIB","Porites.astreoides",0.15895060028806
"106","SEFCRI","CARIB","Meandrina.meandrites",0.110575388513177
"107","SEFCRI","CARIB","Acropora.cervicornis",0.0752688172043011
"108","SEFCRI","CARIB","Orbicella.franksi",0.0698924731182796
"109","SEFCRI","CARIB","Orbicella.faveolata",0.0267763335473332
"110","SEFCRI","CARIB","Pseudodiploria.strigosa",0.021505376344086
"111","SEFCRI","CARIB","Solenastrea.bournoni",0.021505376344086
