"","row_id","SITE","REGION","REGION_SUB","YEAR","DATE","SI_LATI","SI_LONG","DEPTH","HABITAT","REEF_ZONE","OCEAN","coral_cover","SI_LONG_360","JURISDICTION","c_sst_mean","c_sst_sd","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd","long_bin_0.5","lat_bin_0.5","long_bin_2.5","lat_bin_2.5","admin","my_cell","cell_0.5","cell_2.5","region_n","region_edit_notes"
"1",1,"PRICO-1","SWPRICO","SWPRICO",2014,"5/21/14",17.8708212,-66.495211,14.1732,"PVMT","Not available","CARIB",7,293.504789,"PRICO",27.51,1.16,13.4617072,0.240938543,0.04715341,0.011361074,7.938541095,1,0.167632094,788.1501792,132.119265,0.038753184,27.86814,1.079979166,0.273990617,2.531576699,0.693628262,-66.49583333,17.87083333,-66.47916667,17.85416667,"OPEN","-66.4791666666667_17.8541666666667","-66.496_17.871","-66.479_17.854",1,NA
"2",2,"PRICO-10","SWPRICO","SWPRICO",2014,"5/21/14",17.8858116,-66.502076,9.906,"SCR","Not available","CARIB",3.03030303,293.497924,"PRICO",27.5,1.18,13.59840748,0.216199653,0.06433118,0.013908379,8.088934431,1,0.167632094,788.1501792,132.119265,0.039314627,27.89009,1.096488486,0.274241566,1.560275823,0.427892485,-66.50416667,17.8875,-66.52083333,17.89583333,"OPEN","-66.5208333333333_17.8958333333333","-66.504_17.887","-66.521_17.896",1,NA
"3",3,"PRICO-100","EPRICO","EPRICO",2014,"8/20/14",18.3147826,-65.351824,16.6116,"BDRK","Not available","CARIB",1,294.648176,"PRICO",27.16,1.18,12.07284978,0.168556808,0.04888646,0.008240146,6.534088025,2,0.151702961,1036.746995,157.277589,0.039909308,27.5978,1.101409097,0.56180235,4.227114908,2.374803089,-65.35416667,18.3125,-65.35416667,18.3125,"OPEN","-65.3541666666667_18.3125","-65.354_18.312","-65.354_18.312",1,NA
"4",4,"PRICO-101","EPRICO","EPRICO",2014,"8/20/14",18.3146984,-65.323956,18.5928,"PVMT","Not available","CARIB",0,294.676044,"PRICO",27.16,1.18,12.07284978,0.182619025,0.04716892,0.008613942,6.534088025,2,0.151702961,1036.746995,157.277589,0.039909308,27.5978,1.101409097,0.56180235,4.227114908,2.374803089,-65.32083333,18.3125,-65.3125,18.3125,"CLP","-65.3125_18.3125","-65.321_18.312","-65.312_18.312",1,NA
"5",5,"PRICO-102","EPRICO","EPRICO",2014,"8/20/14",18.3170557,-65.352721,12.6492,"BDRK","Not available","CARIB",0,294.647279,"PRICO",27.16,1.18,12.07284978,0.168556808,0.04888646,0.008240146,6.534088025,2,0.151702961,1036.746995,157.277589,0.039909308,27.5978,1.101409097,0.56180235,4.227114908,2.374803089,-65.35416667,18.32083333,-65.35416667,18.3125,"OPEN","-65.3541666666667_18.3125","-65.354_18.321","-65.354_18.312",1,NA
"6",6,"PRICO-103","EPRICO","EPRICO",2014,"8/20/14",18.3179396,-65.351758,13.1064,"BDRK","Not available","CARIB",0.99009901,294.648242,"PRICO",27.16,1.18,12.07284978,0.168556808,0.04888646,0.008240146,6.534088025,2,0.151702961,1036.746995,157.277589,0.039909308,27.5978,1.101409097,0.56180235,4.227114908,2.374803089,-65.35416667,18.32083333,-65.35416667,18.3125,"OPEN","-65.3541666666667_18.3125","-65.354_18.321","-65.354_18.312",1,NA
"7",7,"PRICO-104","EPRICO","EPRICO",2014,"8/20/14",18.3216905,-65.335618,17.0688,"PVMT","Not available","CARIB",0,294.664382,"PRICO",27.16,1.18,12.07284978,0.168556808,0.04888646,0.008240146,6.534088025,2,0.151702961,1036.746995,157.277589,0.039909308,27.5978,1.101409097,0.56180235,4.227114908,2.374803089,-65.3375,18.32083333,-65.35416667,18.3125,"CLP","-65.3541666666667_18.3125","-65.338_18.321","-65.354_18.312",1,NA
"8",8,"PRICO-105","EPRICO","EPRICO",2014,"8/18/14",18.3229617,-65.33134,4.1148,"PVMT","Not available","CARIB",10,294.66866,"PRICO",27.16,1.18,12.07284978,0.182619025,0.04716892,0.008613942,6.534088025,2,0.151702961,1036.746995,157.277589,0.039909308,27.5978,1.101409097,0.56180235,4.227114908,2.374803089,-65.32916667,18.32083333,-65.3125,18.3125,"CLP","-65.3125_18.3125","-65.329_18.321","-65.312_18.312",1,NA
"9",9,"PRICO-106","EPRICO","EPRICO",2014,"8/19/14",18.3226221,-65.244429,18.5928,"SCR","Not available","CARIB",3,294.755571,"PRICO",27.12,1.18,11.77388875,0.163989255,0.04968996,0.00814862,6.170974857,2,0.147249977,987.0888785,145.3488147,0.040401503,27.4872,1.110524201,0.523018056,4.451974668,2.328463136,-65.24583333,18.32083333,-65.22916667,18.3125,"OPEN","-65.2291666666667_18.3125","-65.246_18.321","-65.229_18.312",1,NA
"10",10,"PRICO-107","EPRICO","EPRICO",2014,"8/18/14",18.3274534,-65.3303,0.6096,"BDRK","Not available","CARIB",5,294.6697,"PRICO",27.16,1.18,12.07284978,0.182619025,0.04716892,0.008613942,6.534088025,2,0.151702961,1036.746995,157.277589,0.039909308,27.5978,1.101409097,0.56180235,4.227114908,2.374803089,-65.32916667,18.32916667,-65.3125,18.3125,"CLP","-65.3125_18.3125","-65.329_18.329","-65.312_18.312",1,NA
