"","X","OCEAN","JURISDICTION","REGION","cell_2.5","lat_bin_2.5","long_bin_2.5","c_sst_mean","c_sst_sd","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd","not_oasis","oasis","oasis_present","Ji","c_sst_mean_z","c_sst_sd_z","human_pop50_log_z","kd490_cv_z","kd490_mean_z","kd490_sd_z","land_area50_log_z","nAll_30yr_z","npp_cv_z","npp_mean_z","npp_sd_z","sst_cv_z","sst_mean_z","sst_sd_z","wave_cv_z","wave_mean_z","wave_sd_z","y_pred_prob"
"1",1,"CARIB","FLORIDA","Keys_lower","-81.312_24.562",24.5625,-81.3125,26.63,2.51,10.791825205247,0.257354459,0.06080778,0.015649153,5.61221242512965,0.000536355960648507,0.2121118975,948.46972095,201.15359085,0.091899304,26.63247,2.447505465,0.403378432,1.150216678,0.464352018,2,0,0,2,0.134244690653511,0.78521321948004,0.194719631390877,0.0082842513414119,0.195427126337923,0.0136083464647269,-0.008472338070037,-0.421226165894316,0.299132288724617,0.634972515723762,0.593934038336564,0.637045821022432,0.0578822283686606,0.693066568633687,-0.127654477859517,-0.44457766530769,-0.357432936616549,0.545296514491654
"2",2,"CARIB","FLORIDA","Keys_lower","-81.354_24.562",24.5625,-81.35416667,26.63,2.53,10.8484616316964,0.298522093,0.08760554,0.026152189,5.61624358411761,0.00122622026945464,0.214442964,936.4059418,200.8056657,0.095025209,26.63695,2.53118174,0.396400147,1.095845509,0.434393321,1,0,0,1,0.134244690653511,0.801157014911207,0.200803781179636,0.0954978093163943,0.602594335470447,0.218208789055353,-0.00758421089919729,-0.420898630704743,0.320259228936415,0.609354202552292,0.591404650647748,0.693859358496782,0.0595313466234943,0.753577136272435,-0.144367225073384,-0.447277038585891,-0.36003306585227,0.553453132242534
"3",3,"CARIB","FLORIDA","Keys_lower","-81.396_24.562",24.5625,-81.39583333,26.61,2.575,10.8164050707263,0.261537318,0.1173131,0.030681754,5.60850198941121,0.00303864038083702,0.209328061,935.30048252,195.7993252,0.100161069,26.59639,2.663922859,0.3975950742,1.018571429,0.4070409038,10,0,0,10,0.126350514231823,0.837030554631331,0.197360115488107,0.0171456305476514,1.05397326771467,0.306445276461757,-0.00928980490452209,-0.420038126171909,0.273901799892608,0.607006679302635,0.555008960291003,0.787203965761882,0.0446009367091884,0.849568986527391,-0.141505416443818,-0.451113475993546,-0.362406994852898,0.565709364192532
"4",4,"CARIB","FLORIDA","Keys_lower","-81.396_24.604",24.60416667,-81.39583333,26.57,2.78,10.8501014314871,0.176038698,0.1678427,0.02954681,5.61273514891968,0.00427273586392403,0.211895259,942.7822685,199.7710933,0.118667117,26.49917,3.144580099,0.327699485,0.535223817,0.175392569,5,0,0,5,0.110562161388447,1.00045445780079,0.200979936141655,-0.163983040877842,1.82172386368175,0.284336426723874,-0.00835717386982545,-0.419452199790671,0.297168848969863,0.622894796445227,0.583883393010151,1.12355265567732,0.00881359815226438,1.19715666812619,-0.308902895002498,-0.475110304678893,-0.382511861487102,0.586268287247078
"5",5,"CARIB","FLORIDA","Keys_lower","-81.438_24.521",24.52083333,-81.4375,26.63,2.51,10.8099718944944,0.240125001,0.0523961,0.012581614,5.57198645243793,0.00270602317177691,0.195733264,938.8301984,183.7602994,0.091789491,26.62373,2.443778632,0.416658857,1.322788358,0.551151485,1,0,0,1,0.134244690653511,0.78521321948004,0.196669033612611,-0.0282163241874252,0.0676194189132774,-0.0461476933188183,-0.017334746977161,-0.420196046851721,0.150689328943997,0.614502287908844,0.467486216839241,0.635049962226125,0.0546649753447188,0.690371506259976,-0.0958483269330771,-0.436009974192455,-0.349899570536186,0.542815756292083
"6",6,"CARIB","FLORIDA","Keys_lower","-81.438_24.562",24.5625,-81.4375,26.6075,2.6325,10.8414251578102,0.209267728,0.1371175,0.028694268,5.59183759979559,0.00155862350715324,0.20267657325,933.816512925,189.22758985,0.105367998,26.5427,2.796751151,0.398696876,0.965545696,0.3879627025,4,0,0,4,0.125363742179113,0.882868966495935,0.200047890248798,-0.093587401080874,1.35488283166868,0.267728802935182,-0.0129612297347712,-0.420740811614692,0.213617983873735,0.603855361846558,0.507232976035622,0.881840256969638,0.0248372851239052,0.945623876009569,-0.1388666398729,-0.453746052216383,-0.364062800810183,0.573828040496374
"7",7,"CARIB","FLORIDA","Keys_lower","-81.438_24.604",24.60416667,-81.4375,26.54,2.86,10.8107113444913,0.172820746,0.1786363,0.030872059,5.60400610496298,0.00453559624846093,0.204018501,948.2802462,193.4667139,0.120289011,26.52431,3.190583019,0.390416891,0.862505946,0.33673689,2,0,0,2,0.0987208967559136,1.06422963952545,0.196748468789302,-0.170800266354359,1.98572264524009,0.310152441440266,-0.0102803183393315,-0.419327398398888,0.225780153997497,0.634570152299894,0.538051064878686,1.15303069021401,0.0180678019305105,1.23042371786329,-0.158696912818131,-0.45886168156293,-0.368508712883889,0.588649862624491
"8",8,"CARIB","FLORIDA","Keys_lower","-81.479_24.521",24.52083333,-81.47916667,26.624,2.542,10.7861786922875,0.276853072,0.06049995,0.016749597,5.57649758188662,0.00487985943444073,0.195733264,938.8301984,183.7602994,0.093245391,26.6215,2.48233217,0.416658857,1.322788358,0.551151485,5,0,0,5,0.131876437727005,0.810723292169907,0.194113056562918,0.0495920276228286,0.190749933841712,0.035045131928111,-0.0163408748310815,-0.4191639484183,0.150689328943997,0.614502287908844,0.467486216839241,0.661511044443564,0.0538440972848356,0.718251529227801,-0.0958483269330771,-0.436009974192455,-0.349899570536186,0.544584393184373
"9",9,"CARIB","FLORIDA","Keys_lower","-81.479_24.562",24.5625,-81.47916667,26.6,2.67,10.7968383729803,0.172983003,0.1516193,0.026227562,5.57166803687304,0.00258251248858869,0.195733264,938.8301984,183.7602994,0.111838102,26.50576,2.964353893,0.416658857,1.322788358,0.551151485,1,0,0,1,0.12240342602098,0.912763582929372,0.195258169312806,-0.170456525194098,1.57522428682755,0.219677064433956,-0.0174048988902059,-0.42025468750687,0.150689328943997,0.614502287908844,0.467486216839241,0.99943484031972,0.0112394216565855,1.06682593783929,-0.0958483269330771,-0.436009974192455,-0.349899570536186,0.577219807659046
"10",10,"CARIB","FLORIDA","Keys_lower","-81.521_24.521",24.52083333,-81.52083333,26.609,2.529,10.7343604321506,0.335995315,0.07818443,0.026269602,5.55511748318066,0.00497532651294023,0.1962135918,921.09291159,180.7306619,0.095553547,26.62536,2.544147598,0.4053865705,1.2796370291,0.518828768,10,0,0,10,0.125955805410738,0.800359825139649,0.18854649673154,0.17488476216888,0.459449271643079,0.22049600884265,-0.0210512438918618,-0.419118622363226,0.155042639633617,0.576835868235473,0.445460997351437,0.703461937833685,0.055264989352617,0.762953407234585,-0.1228450567595,-0.438152314449136,-0.352704874166368,0.551513778356694
