"","OCEAN","JURISDICTION","REGION","cell_2.5","lat_bin_2.5","long_bin_2.5","c_sst_mean","c_sst_sd","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd","not_oasis","oasis","oasis_present","Ji","c_sst_mean_z","c_sst_sd_z","human_pop50_log_z","kd490_cv_z","kd490_mean_z","kd490_sd_z","land_area50_log_z","nAll_30yr_z","npp_cv_z","npp_mean_z","npp_sd_z","sst_cv_z","sst_mean_z","sst_sd_z","wave_cv_z","wave_mean_z","wave_sd_z"
"1","CARIB","FLORIDA","Keys_lower","-81.312_24.562",24.5625,-81.3125,26.63,2.51,10.7471819470367,0.257354459,0.06080778,0.015649153,5.60719654722864,0.00415869053103961,0.2121118975,948.46972095,201.15359085,0.091899304,26.63247,2.447505465,0.403378432,1.150216678,0.464352018,2,0,0,2,0.419909236461477,0.0382356295568664,0.10078811856885,-0.231020917673075,-0.352262543979175,-0.27588909789974,0.0272557724469681,-0.706344259253331,-0.0807807818119898,0.0186789660377883,-0.0699649513645528,-0.283477945374524,0.470586242431489,-0.24255990805905,-0.44540075138451,-0.381334695857248,-0.411231615979784
"2","CARIB","FLORIDA","Keys_lower","-81.354_24.562",24.5625,-81.35416667,26.63,2.53,10.8363733502825,0.298522093,0.08760554,0.026152189,5.62283588879635,0.00243437272612937,0.214442964,936.4059418,200.8056657,0.095025209,26.63695,2.53118174,0.396400147,1.095845509,0.434393321,1,0,0,1,0.419909236461477,0.0793995143412839,0.110990740092021,-0.177563521894364,-0.0388397720440313,-0.156707585582863,0.0302588590466502,-0.707477846872579,-0.0548244019134822,-0.0440050045324093,-0.0726929698431973,-0.127515981267116,0.479152102341354,-0.0826430479772193,-0.479358843683028,-0.403609753653617,-0.429732169908691
"3","CARIB","FLORIDA","Keys_lower","-81.396_24.562",24.5625,-81.39583333,26.61,2.575,10.8249934847042,0.261537318,0.1173131,0.030681754,5.60866345867434,0.00445005413843319,0.209328061,935.30048252,195.7993252,0.100161069,26.59639,2.663922859,0.3975950742,1.018571429,0.4070409038,10,0,0,10,0.373473982566977,0.172018255106223,0.109688995111509,-0.225589350995001,0.308615604921417,-0.105309075015291,0.0275374506804438,-0.706152713253458,-0.111778746807554,-0.0497490235593225,-0.111946784620272,0.128729430215534,0.401600477800214,0.171043471340575,-0.473544026984138,-0.43526779282804,-0.446623253973347
"4","CARIB","FLORIDA","Keys_lower","-81.396_24.604",24.60416667,-81.39583333,26.57,2.78,10.8343413225697,0.176038698,0.1678427,0.02954681,5.61364817249675,0.00137570669292472,0.211895259,942.7822685,199.7710933,0.118667117,26.49917,3.144580099,0.327699485,0.535223817,0.175392569,4,1,1,5,0.280603474777977,0.593948074146502,0.110758296056788,-0.336611849102948,0.899602586548763,-0.118187669577374,0.028494621877103,-0.708173826873911,-0.0831930472735899,-0.0108733075542893,-0.0808048658205231,1.05205870412052,0.215713669666837,1.0896455075378,-0.813673567310007,-0.633288107473781,-0.589674285548882
"5","CARIB","FLORIDA","Keys_lower","-81.438_24.521",24.52083333,-81.4375,26.63,2.51,10.7946120022885,0.240125001,0.0523961,0.012581614,5.57303693429133,0.00389917911146767,0.195733264,938.8301984,183.7602994,0.091789491,26.62373,2.443778632,0.416658857,1.322788358,0.551151485,1,0,0,1,0.419909236461477,0.0382356295568664,0.106213651579282,-0.25339388074787,-0.450644351347829,-0.31069750349894,0.0206963993801264,-0.706514865235269,-0.263156545585534,-0.0314084518701366,-0.206342619032577,-0.288956887045665,0.453875167518032,-0.24968239805289,-0.380774858645313,-0.310634649918997,-0.357629878219497
"6","CARIB","FLORIDA","Keys_lower","-81.438_24.562",24.5625,-81.4375,26.6075,2.6325,10.8264630006211,0.209267728,0.1371175,0.028694268,5.59384340464554,0.000227998140035197,0.20267657325,933.816512925,189.22758985,0.105367998,26.5427,2.796751151,0.398696876,0.965545696,0.3879627025,2,2,1,4,0.36766957583017,0.290364423861424,0.109857093315785,-0.293462966462457,0.540245037549829,-0.127861752849454,0.0246916847338537,-0.708928344516978,-0.185842932848265,-0.0574598001960157,-0.163474578663216,0.388520714278173,0.298944000442871,0.424896590240436,-0.46818238193538,-0.456991645542515,-0.458404717366671
"7","CARIB","FLORIDA","Keys_lower","-81.438_24.604",24.60416667,-81.4375,26.54,2.86,10.8291818003026,0.172820746,0.1786363,0.030872059,5.59949107894664,6.95566495414823e-05,0.204018501,948.2802462,193.4667139,0.120289011,26.52431,3.190583019,0.390416891,0.862505946,0.33673689,0,2,1,2,0.210950593936223,0.758603613284172,0.110168097326688,-0.340790455375557,1.02584298989439,-0.1031496196253,0.0257761584592712,-0.70903250589111,-0.170900593590526,0.0176944462198175,-0.130236369980498,1.13298047679564,0.263781910321776,1.17756340924883,-0.508474874268431,-0.499205495801526,-0.490038466548364
"8","CARIB","FLORIDA","Keys_lower","-81.479_24.521",24.52083333,-81.47916667,26.624,2.542,10.7781979901956,0.276853072,0.06049995,0.016749597,5.57716888243889,0.00248932369169779,0.195733264,938.8301984,183.7602994,0.093245391,26.6215,2.48233217,0.416658857,1.322788358,0.551151485,5,0,0,5,0.405978660293126,0.104097845211934,0.104336049624766,-0.20570138941753,-0.355862879674576,-0.263401986540697,0.0214898214087217,-0.707441721435576,-0.263156545585534,-0.0314084518701366,-0.206342619032577,-0.216317115989291,0.449611357786116,-0.17600128901684,-0.380774858645313,-0.310634649918997,-0.357629878219497
"9","CARIB","FLORIDA","Keys_lower","-81.479_24.562",24.5625,-81.47916667,26.6,2.67,10.8034067780125,0.172983003,0.1516193,0.026227562,5.57707464933823,0.00112445005797781,0.195733264,938.8301984,183.7602994,0.111838102,26.50576,2.964353893,0.416658857,1.322788358,0.551151485,1,0,0,1,0.350256355619731,0.367546707832206,0.107219687641367,-0.340579759840641,0.709856018245569,-0.155852302583942,0.0214717266468276,-0.708339006059452,-0.263156545585534,-0.0314084518701366,-0.206342619032577,0.71133606785392,0.228313896632469,0.745208461696772,-0.380774858645313,-0.310634649918997,-0.357629878219497
"10","CARIB","FLORIDA","Keys_lower","-81.521_24.521",24.52083333,-81.52083333,26.609,2.529,10.7316223637465,0.335995315,0.07818443,0.026269602,5.55079257959983,0.00156543563702144,0.1962135918,921.09291159,180.7306619,0.095553547,26.62536,2.544147598,0.4053865705,1.2796370291,0.518828768,10,0,0,10,0.371152219872249,0.0773413201020633,0.0990082548870304,-0.128903429853186,-0.149027728459265,-0.155375260443193,0.0164250096158328,-0.708049096745028,-0.257808104924311,-0.123572238239949,-0.230097461370344,-0.101155412986065,0.456991763869172,-0.0578635116077185,-0.435628643691687,-0.328313106404595,-0.377590298026383
