"","X","OCEAN","JURISDICTION","REGION","cell_2.5","lat_bin_2.5","long_bin_2.5","c_sst_mean","c_sst_sd","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd","not_oasis","oasis","oasis_present","Ji","c_sst_mean_z","c_sst_sd_z","human_pop50_log_z","kd490_cv_z","kd490_mean_z","kd490_sd_z","land_area50_log_z","nAll_30yr_z","npp_cv_z","npp_mean_z","npp_sd_z","sst_cv_z","sst_mean_z","sst_sd_z","wave_cv_z","wave_mean_z","wave_sd_z","y_pred_prob"
"1",1,"CARIB","FLORIDA","Keys_lower","-81.312_24.562",24.5625,-81.3125,26.63,2.51,10.7575962199458,0.257354459,0.06080778,0.015649153,5.60485444942675,0.000307142899837345,0.2121118975,948.46972095,201.15359085,0.091899304,26.63247,2.447505465,0.403378432,1.150216678,0.464352018,2,0,0,2,0.419909236461477,0.0382356295568664,0.101924109726369,-0.231020917673075,-0.352262543979175,-0.27588909789974,0.0267816404511338,-0.708787138177378,-0.0807758445889126,0.018682834371791,-0.0699605513161178,-0.283477945374524,0.470586242431489,-0.24255990805905,-0.445399377929361,-0.381333019071868,-0.411229574464617,0.136022664489632
"2",2,"CARIB","FLORIDA","Keys_lower","-81.354_24.562",24.5625,-81.35416667,26.63,2.53,10.8568485828729,0.298522093,0.08760554,0.026152189,5.61909002427475,0.00142905267188326,0.214442964,936.4059418,200.8056657,0.095025209,26.63695,2.53118174,0.396400147,1.095845509,0.434393321,1,0,0,1,0.419909236461477,0.0793995143412839,0.113280249794624,-0.177563521894364,-0.0388397720440313,-0.156707585582863,0.0295147637541644,-0.708049656391673,-0.0548196196016298,-0.0440011822273621,-0.0726885593667071,-0.127515981267116,0.479152102341354,-0.0826430479772193,-0.479357527691302,-0.403608172133526,-0.429730193078712,0.257456032726522
"3",3,"CARIB","FLORIDA","Keys_lower","-81.396_24.562",24.5625,-81.39583333,26.61,2.575,10.8077975012092,0.261537318,0.1173131,0.030681754,5.60254639016741,0.000497616045176983,0.209328061,935.30048252,195.7993252,0.100161069,26.59639,2.663922859,0.3975950742,1.018571429,0.4070409038,10,0,0,10,0.373473982566977,0.172018255106223,0.107667980852656,-0.225589350995001,0.308615604921417,-0.105309075015291,0.0263385104325818,-0.708661931606534,-0.111773624584382,-0.0497452054721191,-0.111942224093131,0.128729430215534,0.401600477800214,0.171043471340575,-0.473542701152658,-0.435266346702088,-0.446621336201218,0.456093461906105
"4",4,"CARIB","FLORIDA","Keys_lower","-81.396_24.604",24.60416667,-81.39583333,26.57,2.78,10.8281486462166,0.176038698,0.1678427,0.02954681,5.61341482941714,0.00481260164524429,0.211895259,942.7822685,199.7710933,0.118667117,26.49917,3.144580099,0.327699485,0.535223817,0.175392569,4,1,1,5,0.280603474777977,0.593948074146502,0.10999649421433,-0.336611849102948,0.899602586548763,-0.118187669577374,0.0284251690254505,-0.705825497371876,-0.0831880956537825,-0.0108694609205757,-0.0808004243357022,1.05205870412052,0.215713669666837,1.0896455075378,-0.813672817041111,-0.633287508235081,-0.589672867939224,0.878481740181236
"5",5,"CARIB","FLORIDA","Keys_lower","-81.438_24.521",24.52083333,-81.4375,26.63,2.51,10.821942195247,0.240125001,0.0523961,0.012581614,5.58105703845859,0.00128930289065465,0.195733264,938.8301984,183.7602994,0.091789491,26.62373,2.443778632,0.416658857,1.322788358,0.551151485,1,0,0,1,0.419909236461477,0.0382356295568664,0.109286371810605,-0.25339388074787,-0.450644351347829,-0.31069750349894,0.0222127165289632,-0.708141520212437,-0.263150519918959,-0.0314046203154175,-0.20633769767028,-0.288956887045665,0.453875167518032,-0.24968239805289,-0.380773375831107,-0.310632670765813,-0.357627649291648,0.110352540355977
"6",6,"CARIB","FLORIDA","Keys_lower","-81.438_24.562",24.5625,-81.4375,26.6075,2.6325,10.8261739191964,0.209267728,0.1371175,0.028694268,5.59753443850209,0.00261971124215052,0.20267657325,933.816512925,189.22758985,0.105367998,26.5427,2.796751151,0.398696876,0.965545696,0.3879627025,2,2,1,4,0.36766957583017,0.290364423861424,0.109770552221853,-0.293462966462457,0.540245037549829,-0.127861752849454,0.0253762534084435,-0.707266982926797,-0.185837368599903,-0.0574559877708498,-0.163469821167218,0.388520714278173,0.298944000442871,0.424896590240436,-0.468181047030997,-0.456990292324474,-0.458402840787155,0.610282474074667
"7",7,"CARIB","FLORIDA","Keys_lower","-81.438_24.604",24.60416667,-81.4375,26.54,2.86,10.8103394487263,0.172820746,0.1786363,0.030872059,5.60402705263776,0.000536355960648507,0.204018501,948.2802462,193.4667139,0.120289011,26.52431,3.190583019,0.390416891,0.862505946,0.33673689,0,2,1,2,0.210950593936223,0.758603613284172,0.107958822412487,-0.340790455375557,1.02584298989439,-0.1031496196253,0.0266227864906162,-0.708636466116571,-0.170895118520088,0.0176983138308854,-0.130231739540046,1.13298047679564,0.263781910321776,1.17756340924883,-0.508473607546456,-0.499204323122395,-0.490036700572833,0.913873474492189
"8",8,"CARIB","FLORIDA","Keys_lower","-81.479_24.521",24.52083333,-81.47916667,26.624,2.542,10.8178939514871,0.276853072,0.06049995,0.016749597,5.57883434512377,0.00122622026945464,0.195733264,938.8301984,183.7602994,0.093245391,26.6215,2.48233217,0.416658857,1.322788358,0.551151485,5,0,0,5,0.405978660293126,0.104097845211934,0.108823184619767,-0.20570138941753,-0.355862879674576,-0.263401986540697,0.0217859761258695,-0.708182987258441,-0.263150519918959,-0.0314046203154175,-0.20633769767028,-0.216317115989291,0.449611357786116,-0.17600128901684,-0.380773375831107,-0.310632670765813,-0.357627649291648,0.138082824690756
"9",9,"CARIB","FLORIDA","Keys_lower","-81.479_24.562",24.5625,-81.47916667,26.6,2.67,10.8099718944944,0.172983003,0.1516193,0.026227562,5.58138109162965,0.00303864038083702,0.195733264,938.8301984,183.7602994,0.111838102,26.50576,2.964353893,0.416658857,1.322788358,0.551151485,1,0,0,1,0.350256355619731,0.367546707832206,0.1079167680249,-0.340579759840641,0.709856018245569,-0.155852302583942,0.0222749323005549,-0.706991601949663,-0.263150519918959,-0.0314046203154175,-0.20633769767028,0.71133606785392,0.228313896632469,0.745208461696772,-0.380773375831107,-0.310632670765813,-0.357627649291648,0.737530993322802
"10",10,"CARIB","FLORIDA","Keys_lower","-81.521_24.521",24.52083333,-81.52083333,26.609,2.529,10.7471650603102,0.335995315,0.07818443,0.026269602,5.55213725811761,0.00427273586392403,0.1962135918,921.09291159,180.7306619,0.095553547,26.62536,2.544147598,0.4053865705,1.2796370291,0.518828768,10,0,0,10,0.371152219872249,0.0773413201020633,0.100730609577835,-0.128903429853186,-0.149027728459265,-0.155375260443193,0.0166603362132794,-0.706180375447074,-0.257802111177961,-0.123568474361269,-0.230092449203381,-0.101155412986065,0.456991763869172,-0.0578635116077185,-0.435627253700311,-0.328311202858096,-0.377588138887985,0.213333063436746
