"","X","OCEAN","JURISDICTION","REGION","cell_2.5","lat_bin_2.5","long_bin_2.5","c_sst_mean","c_sst_sd","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd","not_oasis","oasis","oasis_present","Ji","c_sst_mean_z","c_sst_sd_z","human_pop50_log_z","kd490_cv_z","kd490_mean_z","kd490_sd_z","land_area50_log_z","nAll_30yr_z","npp_cv_z","npp_mean_z","npp_sd_z","sst_cv_z","sst_mean_z","sst_sd_z","wave_cv_z","wave_mean_z","wave_sd_z","group_j","alpha_j","Xbeta","y_pred","y_pred_prob"
"1",1,"CARIB","FLORIDA","Keys_lower","-81.312_24.562",24.5625,-81.3125,26.63,2.51,10.7922916025429,0.257354459,0.06080778,0.015649153,5.60653083986595,0.000801740795141086,0.2121118975,948.46972095,201.15359085,0.091899304,26.63247,2.447505465,0.403378432,1.150216678,0.464352018,4,0,0,4,0.419977466981486,0.0380750616897322,0.105322062738727,-0.231020917673075,-0.352262543979175,-0.27588909789974,0.0271104915257141,-0.708404588538754,-0.0804044672128361,0.0179788852581077,-0.0699596344548668,-0.283477945374524,0.470586242431489,-0.24255990805905,-0.445288626588265,-0.380864071563255,-0.410754078111499,7,-1.21274853258947,0.244156775014728,-0.968591757574745,0.275161283764527
"2",2,"CARIB","FLORIDA","Keys_lower","-81.354_24.562",24.5625,-81.35416667,26.63,2.53,10.838025661744,0.298522093,0.08760554,0.026152189,5.61456312145771,0.00127989724162035,0.214442964,936.4059418,200.8056657,0.095025209,26.63695,2.53118174,0.396400147,1.095845509,0.434393321,2,0,0,2,0.419977466981486,0.0792601422461021,0.110564857610579,-0.177563521894364,-0.0388397720440313,-0.156707585582863,0.0286525028539188,-0.708090322761104,-0.0544589602509186,-0.0447612449603567,-0.0726876385908176,-0.127515981267116,0.479152102341354,-0.0826430479772193,-0.479255027660502,-0.403145836895799,-0.429257697157931,7,-1.21274853258947,0.929877549014482,-0.28287098357499,0.429750057180157
"3",3,"CARIB","FLORIDA","Keys_lower","-81.396_24.562",24.5625,-81.39583333,26.61,2.57333333333333,10.8149100037888,0.261537318,0.1173131,0.030681754,5.6012402321433,0.00337572909309529,0.209328061,935.30048252,195.7993252,0.100161069,26.59639,2.663922859,0.3975950742,1.018571429,0.4070409038,15,0,0,15,0.37354085413506,0.16849448345157,0.107914958277255,-0.225589350995001,0.308615604921417,-0.105309075015291,0.0260948178409435,-0.706712848439726,-0.111389447388901,-0.0505104101527929,-0.111941246988997,0.128729430215534,0.401600477800214,0.171043471340575,-0.473438788208069,-0.434813409039562,-0.446151579687865,7,-1.21274853258947,1.72971441821812,0.516965885628648,0.626438015631892
"4",4,"CARIB","FLORIDA","Keys_lower","-81.396_24.604",24.60416667,-81.39583333,26.57,2.78,10.8120616181949,0.176038698,0.1678427,0.02954681,5.61314101729939,0.000598513116128743,0.211895259,942.7822685,199.7710933,0.118667117,26.49917,3.144580099,0.327699485,0.535223817,0.175392569,4,2,1,6,0.280667628442207,0.594073649200725,0.107588429173009,-0.336611849102948,0.899602586548763,-0.118187669577374,0.0283794919171181,-0.708538158848336,-0.0828157221941803,-0.0115998647245897,-0.0807994919194444,1.05205870412052,0.215713669666837,1.0896455075378,-0.813651550505325,-0.632893352191594,-0.589226311538836,7,-1.21274853258947,3.52647133632311,2.31372280373364,0.910007196666601
"5",5,"CARIB","FLORIDA","Keys_lower","-81.438_24.521",24.52083333,-81.4375,26.63,2.51,10.7804785448845,0.240125001,0.0523961,0.012581614,5.57356050008386,0.000779113415628672,0.195733264,938.8301984,183.7602994,0.091789491,26.62373,2.443778632,0.416658857,1.322788358,0.551151485,1,0,0,1,0.419977466981486,0.0380750616897322,0.103967854536042,-0.25339388074787,-0.450644351347829,-0.31069750349894,0.0207809527940405,-0.708419460263419,-0.262703835120592,-0.0321534068297186,-0.206336585110479,-0.288956887045665,0.453875167518032,-0.24968239805289,-0.380646921361299,-0.310142736202544,-0.35714345977248,7,-1.21274853258947,0.0160236155048178,-1.19672491708465,0.232058347852628
"6",6,"CARIB","FLORIDA","Keys_lower","-81.438_24.562",24.5625,-81.4375,26.6083333333333,2.62833333333333,10.8270215688262,0.209267728,0.1371175,0.028694268,5.59481140198121,0.00239668693626299,0.2031238825,938.63775735,190.6406312,0.105367998,26.5427,2.796751151,0.395936881,0.931199112666667,0.370887431666667,4,2,1,6,0.369671136397861,0.281753454981588,0.109303386336731,-0.293462966462457,0.540245037549829,-0.127861752849454,0.0248606319096113,-0.707356318682644,-0.180443915146355,-0.0331542355407096,-0.152389425478261,0.388520714278173,0.298944000442871,0.424896590240436,-0.481509948283425,-0.470619323918827,-0.468481325055662,7,-1.21274853258947,2.29990766805155,1.08715913546207,0.747846390911697
"7",7,"CARIB","FLORIDA","Keys_lower","-81.438_24.604",24.60416667,-81.4375,26.54,2.86,10.8126786588179,0.172820746,0.1786363,0.030872059,5.60512099718847,0.000137172391405329,0.204018501,948.2802462,193.4667139,0.120289011,26.52431,3.190583019,0.390416891,0.862505946,0.33673689,1,2,1,3,0.211012709172563,0.758813971426205,0.107659164582683,-0.340790455375557,1.02584298989439,-0.1031496196253,0.0268398345081742,-0.708841372582427,-0.170486528465189,0.0169934833918846,-0.130230736190813,1.13298047679564,0.263781910321776,1.17756340924883,-0.508378182277126,-0.498770365137308,-0.489573985167992,7,-1.21274853258947,3.90822764323054,2.69547911064107,0.936759348950957
"8",8,"CARIB","FLORIDA","Keys_lower","-81.479_24.521",24.52083333,-81.47916667,26.62625,2.53,10.8081859354183,0.276853072,0.06049995,0.016749597,5.57880576661768,0.00271114820730872,0.195733264,938.8301984,183.7602994,0.093245391,26.6215,2.48233217,0.416658857,1.322788358,0.551151485,8,0,0,8,0.411270602072781,0.0792601422461021,0.107144134261486,-0.20570138941753,-0.355862879674576,-0.263401986540697,0.0217879220246622,-0.70714964068716,-0.262703835120592,-0.0321534068297186,-0.206336585110479,-0.216317115989291,0.449611357786116,-0.17600128901684,-0.380646921361299,-0.310142736202544,-0.35714345977248,7,-1.21274853258947,0.216710970893113,-0.99603756169636,0.269721196932656
"9",9,"CARIB","FLORIDA","Keys_lower","-81.479_24.562",24.5625,-81.47916667,26.6,2.67,10.8098586404376,0.172983003,0.1516193,0.026227562,5.57248415167005,0.000348413197789341,0.195733264,938.8301984,183.7602994,0.111838102,26.50576,2.964353893,0.416658857,1.322788358,0.551151485,1,0,0,1,0.350322547711851,0.367555706140691,0.107335887398002,-0.340579759840641,0.709856018245569,-0.155852302583942,0.0205743189219293,-0.70870253568756,-0.262703835120592,-0.0321534068297186,-0.206336585110479,0.71133606785392,0.228313896632469,0.745208461696772,-0.380646921361299,-0.310142736202544,-0.35714345977248,7,-1.21274853258947,2.82307182443254,1.61032329184307,0.833456266406855
"10",10,"CARIB","FLORIDA","Keys_lower","-81.521_24.521",24.52083333,-81.52083333,26.6092857142857,2.52928571428571,10.7066153592935,0.335995315,0.07818443,0.026269602,5.55691285318279,0.000809141419595107,0.196225695857143,920.878235507143,180.699761242857,0.095553547,26.62536,2.544147598,0.405779104928571,1.2815110405,0.520070171428571,14,0,0,14,0.371882403676261,0.0777892465119457,0.0955004335941896,-0.128903429853186,-0.149027728459265,-0.155375260443193,0.0175849916196032,-0.708399724517749,-0.257222912899896,-0.125516230831259,-0.230333587773037,-0.101155412986065,0.456991763869172,-0.0578635116077185,-0.433603489117509,-0.327058530345059,-0.37634044907373,7,-1.21274853258947,0.64131798315105,-0.571430549438423,0.360906798602956
