"","OCEAN","JURISDICTION","REGION","cell_2.5","lat_bin_2.5","long_bin_2.5","c_sst_mean","c_sst_sd","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd"
"1","CARIB","FLORIDA","Keys_lower","-81.312_24.562",24.5625,-81.3125,26.63,2.51,10.7471819470367,0.257354459,0.06080778,0.015649153,5.60719654722864,0.00415869053103961,0.2121118975,948.46972095,201.15359085,0.091899304,26.63247,2.447505465,0.403378432,1.150216678,0.464352018
"2","CARIB","FLORIDA","Keys_lower","-81.354_24.562",24.5625,-81.35416667,26.63,2.53,10.8363733502825,0.298522093,0.08760554,0.026152189,5.62283588879635,0.00243437272612937,0.214442964,936.4059418,200.8056657,0.095025209,26.63695,2.53118174,0.396400147,1.095845509,0.434393321
"3","CARIB","FLORIDA","Keys_lower","-81.396_24.562",24.5625,-81.39583333,26.61,2.575,10.8249934847042,0.261537318,0.1173131,0.030681754,5.60866345867434,0.00445005413843319,0.209328061,935.30048252,195.7993252,0.100161069,26.59639,2.663922859,0.3975950742,1.018571429,0.4070409038
"4","CARIB","FLORIDA","Keys_lower","-81.396_24.604",24.60416667,-81.39583333,26.57,2.78,10.8343413225697,0.176038698,0.1678427,0.02954681,5.61364817249675,0.00137570669292472,0.211895259,942.7822685,199.7710933,0.118667117,26.49917,3.144580099,0.327699485,0.535223817,0.175392569
"5","CARIB","FLORIDA","Keys_lower","-81.438_24.521",24.52083333,-81.4375,26.63,2.51,10.7946120022885,0.240125001,0.0523961,0.012581614,5.57303693429133,0.00389917911146767,0.195733264,938.8301984,183.7602994,0.091789491,26.62373,2.443778632,0.416658857,1.322788358,0.551151485
"6","CARIB","FLORIDA","Keys_lower","-81.438_24.562",24.5625,-81.4375,26.6075,2.6325,10.8264630006211,0.209267728,0.1371175,0.028694268,5.59384340464554,0.000227998140035197,0.20267657325,933.816512925,189.22758985,0.105367998,26.5427,2.796751151,0.398696876,0.965545696,0.3879627025
"7","CARIB","FLORIDA","Keys_lower","-81.438_24.604",24.60416667,-81.4375,26.54,2.86,10.8291818003026,0.172820746,0.1786363,0.030872059,5.59949107894664,6.95566495414823e-05,0.204018501,948.2802462,193.4667139,0.120289011,26.52431,3.190583019,0.390416891,0.862505946,0.33673689
"8","CARIB","FLORIDA","Keys_lower","-81.479_24.521",24.52083333,-81.47916667,26.624,2.542,10.7781979901956,0.276853072,0.06049995,0.016749597,5.57716888243889,0.00248932369169779,0.195733264,938.8301984,183.7602994,0.093245391,26.6215,2.48233217,0.416658857,1.322788358,0.551151485
"9","CARIB","FLORIDA","Keys_lower","-81.479_24.562",24.5625,-81.47916667,26.6,2.67,10.8034067780125,0.172983003,0.1516193,0.026227562,5.57707464933823,0.00112445005797781,0.195733264,938.8301984,183.7602994,0.111838102,26.50576,2.964353893,0.416658857,1.322788358,0.551151485
"10","CARIB","FLORIDA","Keys_lower","-81.521_24.521",24.52083333,-81.52083333,26.609,2.529,10.7316223637465,0.335995315,0.07818443,0.026269602,5.55079257959983,0.00156543563702144,0.1962135918,921.09291159,180.7306619,0.095553547,26.62536,2.544147598,0.4053865705,1.2796370291,0.518828768
"11","CARIB","FLORIDA","Keys_lower","-81.562_24.521",24.52083333,-81.5625,26.6,2.52,10.6485673378156,0.325100654,0.08766996,0.028501561,5.53428976307024,0.00282839114544913,0.195832314,927.8552082,181.7040326,0.099661495,26.60019,2.651014711,0.393021736,1.22060567,0.47972456
"12","CARIB","FLORIDA","Keys_lower","-81.562_24.562",24.5625,-81.5625,26.522,2.728,8.54294156740534,0.169010742,0.1498795,0.025331246,5.52694826178689,0.003967876334209,0.1939745416,926.5122832,179.7235376,0.116574329,26.49333,3.088442164,0.382480126,1.069331369,0.412004056
"13","CARIB","FLORIDA","Keys_lower","-81.562_24.604",24.60416667,-81.5625,26.43,2.93,0.0140212176676909,0.205982989,0.1852151,0.03815116,5.51531206095593,0.000108455189038068,0.191187883,924.4978957,176.7527951,0.122791083,26.544,3.259366503,0.361056894,0.568820291,0.205376487
"14","CARIB","FLORIDA","Keys_lower","-81.604_24.521",24.52083333,-81.60416667,26.59,2.55666666666667,10.6182442835425,0.293060638,0.1152937,0.033788045,5.52091498398257,0.00414341878495179,0.194927803666667,906.5515164,176.6435043,0.105556395,26.52053,2.799411545,0.394722330666667,1.291339605,0.511772480333333
"15","CARIB","FLORIDA","Keys_lower","-81.604_24.562",24.5625,-81.60416667,26.51,2.74,0.0222634747000816,0.163899077,0.1532005,0.025109421,5.51219247709121,0.00436763815931045,0.191187883,924.4978957,176.7527951,0.118950281,26.48547,3.150454094,0.361056894,0.568820291,0.205376487
"16","CARIB","FLORIDA","Keys_lower","-81.646_24.479",24.47916667,-81.64583333,26.586,2.536,10.6553746419766,0.2136488,0.05346442,0.011422609,5.52690781068231,0.00328592264093459,0.1835950556,935.10861728,171.62500696,0.092329743,26.61446,2.457306249,0.3995920898,1.2618886184,0.5043045178
"17","CARIB","FLORIDA","Keys_lower","-81.646_24.521",24.52083333,-81.64583333,26.56,2.6325,10.6324181201756,0.205624123,0.133038,0.027355822,5.52644394204376,0.00493181151105091,0.1868977565,925.5179447,172.88924095,0.108718123,26.50606,2.881689088,0.37193034625,1.05284218375,0.39899993325
"18","CARIB","FLORIDA","Keys_lower","-81.646_24.562",24.5625,-81.64583333,26.51,2.74,10.6389919891116,0.156202282,0.1485764,0.023207973,5.53989689577523,0.00425301405950449,0.181393255,941.502399,170.7821843,0.117363982,26.53505,3.114259141,0.313434829,0.339397791,0.106379089
"19","CARIB","FLORIDA","Keys_lower","-81.688_24.479",24.47916667,-81.6875,26.5766666666667,2.52,10.6188376493203,0.271201809,0.06218111,0.01686363,5.51985467235524,0.00293243917869404,0.185638125666667,926.507721466667,171.963331766667,0.094353002,26.59448,2.509269017,0.398293926333333,1.20128381133333,0.478472793666667
"20","CARIB","FLORIDA","Keys_lower","-81.688_24.521",24.52083333,-81.6875,26.564,2.614,10.6261456182626,0.216105336,0.1288659,0.027848609,5.53076055382127,0.0035513993317727,0.181393255,941.502399,170.7821843,0.110639156,26.49739,2.931648853,0.3460984298,0.7872423258,0.2784450468
"21","CARIB","FLORIDA","Keys_lower","-81.688_24.562",24.5625,-81.6875,26.42,2.77,10.6309276198732,0.185030475,0.151187,0.027974202,5.53464292850625,0.004980676547857,0.181393255,941.502399,170.7821843,0.119523824,26.58802,3.177901824,0.313434829,0.339397791,0.106379089
"22","CARIB","FLORIDA","Keys_lower","-81.729_24.479",24.47916667,-81.72916667,26.57,2.53818181818182,10.6275956437531,0.313138876,0.07226177,0.022627969,5.49990077054191,0.00375830469885841,0.186841406,919.578196218182,171.813891709091,0.096141544,26.58256,2.555688361,0.397712158090909,1.17147957827273,0.465920193272727
"23","CARIB","FLORIDA","Keys_lower","-81.729_24.521",24.52083333,-81.72916667,26.54,2.63,10.6371009837053,0.227863493,0.1297833,0.029572876,5.52306255967659,9.94486291892827e-05,0.182454472666667,937.753729616667,171.077471166667,0.112424173,26.47472,2.976398495,0.3444146785,0.654006281833333,0.230895432833333
"24","CARIB","FLORIDA","Keys_lower","-81.771_24.479",24.47916667,-81.77083333,26.57,2.56,10.6198694046791,0.359015787,0.07885668,0.028310793,5.45379116223812,0.00237724432838149,0.1875696385,906.3803464,169.9626597,0.097120052,26.58917,2.582341573,0.408962462,1.364557947,0.5606963645
"25","CARIB","FLORIDA","Keys_lower","-81.812_24.479",24.47916667,-81.8125,26.55,2.57,10.5705175460587,0.363080706,0.09338664,0.033906887,5.3059501789352,0.000835015991469845,0.1970903988,879.07974084,173.14779298,0.099833372,26.55317,2.650892491,0.393671348,1.1302481812,0.444951921
"26","CARIB","FLORIDA","Keys_lower","-81.854_24.438",24.4375,-81.85416667,26.5528571428571,2.56857142857143,10.4740806286486,0.197378919,0.05244492,0.010351522,5.10436085543005,0.000245062811300159,0.201421415714286,869.238108457143,175.078657828571,0.091633994,26.58084,2.435708521,0.417701172285714,1.54861936028571,0.646860567142857
"27","CARIB","FLORIDA","Keys_lower","-81.854_24.479",24.47916667,-81.85416667,26.55,2.57,10.5096599739531,0.280574385,0.1223453,0.034326957,5.19910600425535,0.0021989947441034,0.202134136,864.4895612,174.7428503,0.103846486,26.48077,2.749934908,0.405368599,1.3381247105,0.545089444
"28","CARIB","FLORIDA","Keys_lower","-81.896_24.438",24.4375,-81.89583333,26.56,2.52,10.4678910014002,0.202607901,0.05644333,0.011435865,5.0151818794908,0.00384471496101469,0.20071712125,880.314058275,176.69604885,0.092078596,26.57556,2.447040253,0.417636840125,1.54583702075,0.645598481125
"29","CARIB","FLORIDA","Keys_lower","-81.896_24.479",24.47916667,-81.89583333,26.55,2.61,10.5061551572392,0.301351526,0.1090723,0.032869104,5.12219507995391,0.00340184343745932,0.200471122,875.5695048,175.5264012,0.103548375,26.47975,2.741935083,0.392584484,1.105907015,0.434161935
"30","CARIB","FLORIDA","Keys_lower","-81.938_24.438",24.4375,-81.9375,26.54625,2.52625,10.4328063129323,0.209680146,0.05813067,0.012188847,4.91890277300656,0.000774251697584987,0.2025701785,890.2594927,180.348846375,0.09263931,26.54609,2.459211459,0.41844255925,1.54986156875,0.64853481575
"31","CARIB","FLORIDA","Keys_lower","-81.938_24.479",24.47916667,-81.9375,26.518,2.624,10.4360840469585,0.316391115,0.1044449,0.033045438,4.9384123685159,0.00452548379078507,0.2045904604,893.11247612,182.73358506,0.104059798,26.44353,2.751708378,0.4021770168,1.1905536246,0.4805314464
"32","CARIB","FLORIDA","Keys_lower","-81.938_24.521",24.52083333,-81.9375,26.4433333333333,2.85666666666667,10.4757975122684,0.272624809,0.1635157,0.044578436,5.03417018228943,0.000849533475702629,0.203051198,890.938774466667,180.9166413,0.115335513,26.45033,3.050662387,0.393128906666667,0.332071484666667,0.131835526666667
"33","CARIB","FLORIDA","Keys_lower","-81.979_24.438",24.4375,-81.97916667,26.55,2.52,10.3974025452377,0.217817249,0.05756999,0.012539737,4.81614853707369,0.00355483434279449,0.206899354,896.3730286,185.4590007,0.093103083,26.52819,2.469856271,0.420105526,1.562083199,0.656239784
