"","ll_id","OCEAN","REGION","REGION_SUB","SI_LATI","SI_LONG","YEAR","DATE","SI_LONG_360","REGION_NEW","long_bin_2.5","lat_bin_2.5","c_sst_mean","c_sst_sd","human_pop50","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd"
"1",1,"CARIB","PRICO","PRICO",17.8708212,-66.495211,2014,"5/21/2014",293.504789,"PRICO",-66.47916667,17.85416667,27.51,1.16,702012,13.461707201355,0.240938542788377,0.04715341,0.0113610738929029,2802.26782226562,7.93854109503615,1,0.167632094129091,788.15017916158,132.119265021074,0.0387531843340002,27.86814,1.07997916646572,0.27399061733003,2.53157669851173,0.693628262443547
"2",2,"CARIB","PRICO","PRICO",17.869401,-66.255679,2014,"7/18/2014",293.744321,"PRICO",-66.27083333,17.85416667,27.41,1.19,897152,13.7069816950576,0.19441238447189,0.04207161,0.00817924201867141,2724.36206054688,7.91035656452714,2,0.168604214388989,688.819815119885,116.137923783857,0.0386308384818925,27.83945,1.07546129637472,0.282300286748181,3.03121452018326,0.855712728242983
"3",3,"CARIB","PRICO","PRICO",17.877454,-66.484271,2014,"5/21/2014",293.515729,"PRICO",-66.47916667,17.89583333,27.51,1.19,727232,13.4970022003537,0.237101648947968,0.07139726,0.0169284080763668,2785.58618164062,7.93257253480716,1,0.167632094129091,788.15017916158,132.119265021074,0.0404840587679453,27.8788,1.12864697757979,0.275830398943482,2.65107007634549,0.731245716785504
"4",4,"CARIB","PRICO","PRICO",17.8759394,-66.271139,2014,"7/18/2014",293.728861,"PRICO",-66.27083333,17.89583333,27.42,1.2,897152,13.7069816950576,0.209404427767866,0.0519603,0.0108807168881467,2724.36206054688,7.91035656452714,2,0.168604214388989,688.819815119885,116.137923783857,0.0401910535994089,27.86822,1.12005312374012,0.282300286748181,3.03121452018326,0.855712728242983
"5",5,"CARIB","PRICO","PRICO",17.8794847,-66.26637,2014,"7/18/2014",293.73363,"PRICO",-66.27083333,17.89583333,27.42,1.2,1087917,13.8997763359107,0.209404427767866,0.0519603,0.0108807168881467,3160.19140625,8.05870426281833,2,0.168604214388989,688.819815119885,116.137923783857,0.0401910535994089,27.86822,1.12005312374012,0.283441248826962,1.94753971390512,0.552013088649371
"6",6,"CARIB","PRICO","PRICO",17.8779394,-66.158413,2014,"7/14/2014",293.841587,"PRICO",-66.14583333,17.89583333,27.38,1.21,949942,13.7641572617767,0.228755814924064,0.05177198,0.0118431414751323,2625.33178710938,7.87334339383875,2,0.188864292336759,681.225984626819,128.659263507956,0.0399361472678664,27.85844,1.11255876249302,0.285775791756043,3.14695821288113,0.899324474909287
"7",7,"CARIB","PRICO","PRICO",17.8774343,-66.124001,2014,"7/17/2014",293.875999,"PRICO",-66.10416667,17.89583333,27.38,1.21,910248,13.7214734674378,0.213449236720022,0.04879915,0.0104161413200859,2547.0537109375,7.84308509611568,2,0.228257473369191,657.402341028742,150.056997350212,0.039182873694621,27.83197,1.09053656518248,0.285600738496675,3.22820793791208,0.921978571088519
"8",8,"CARIB","PRICO","PRICO",17.878377,-66.157463,2014,"7/16/2014",293.842537,"PRICO",-66.14583333,17.89583333,27.38,1.21,949942,13.7641572617767,0.228755814924064,0.05177198,0.0118431414751323,2625.33178710938,7.87334339383875,2,0.188864292336759,681.225984626819,128.659263507956,0.0399361472678664,27.85844,1.11255876249302,0.285775791756043,3.14695821288113,0.899324474909287
"9",9,"CARIB","PRICO","PRICO",17.8795027,-66.111237,2014,"7/16/2014",293.888763,"PRICO",-66.10416667,17.89583333,27.36,1.21,1053140,13.8672876852858,0.213449236720022,0.04879915,0.0104161413200859,2853.39111328125,7.95661382904047,2,0.22617312763647,662.473580972384,149.833721785056,0.039182873694621,27.83197,1.09053656518248,0.28564983673763,2.80229935792658,0.800476354081693
"10",10,"CARIB","PRICO","PRICO",17.8858116,-66.502076,2014,"5/21/2014",293.497924,"PRICO",-66.52083333,17.89583333,27.5,1.18,804846,13.5984074762248,0.216199652635754,0.06433118,0.0139083787696482,3257.2138671875,8.0889344307115,1,0.167632094129091,788.15017916158,132.119265021074,0.0393146270245689,27.89009,1.09648848603166,0.274241566005316,1.56027582263873,0.427892485000678
